"",BBK01.OEAG02N,BBK01.OEAG02N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:11:25,
2002-01,8.680,
2002-04,8.158,
2002-07,7.693,
2002-10,8.707,
2003-01,8.673,
2003-04,7.474,
2003-07,7.722,
2003-10,5.787,
2004-01,8.827,
2004-04,5.277,
2004-07,5.158,
2004-10,3.983,
2005-01,4.845,
2005-04,4.084,
2005-07,3.627,
2005-10,3.787,
2006-01,4.120,
2006-04,3.401,
2006-07,3.515,
2006-10,3.573,
2007-01,3.128,
2007-04,2.925,
2007-07,2.381,
2007-10,1.641,
2008-01,0.971,
2008-04,1.060,
2008-07,0.422,
2008-10,0.757,
2009-01,0.411,
2009-04,0.404,
2009-07,0.369,
2009-10,0.743,
2010-01,0.651,
2010-04,0.862,
2010-07,0.873,
2010-10,0.859,
2011-01,2.200,
2011-04,2.326,
2011-07,2.121,
2011-10,0.986,
2012-01,2.426,
2012-04,2.468,
2012-07,2.432,
2012-10,0.986,
2013-01,1.011,
2013-04,0.998,
2013-07,0.964,
2013-10,0.974,
2014-01,0.843,
2014-04,0.854,
2014-07,0.882,
