"",BBK01.OEBM07G,BBK01.OEBM07G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:39:56,
2002-01,0.026,
2002-04,0.040,
2002-07,0.060,
2002-10,0.098,
2003-01,0.119,
2003-04,0.105,
2003-07,0.088,
2003-10,0.059,
2004-01,0.066,
2004-04,0.068,
2004-07,0.071,
2004-10,0.069,
2005-01,0.068,
2005-04,0.185,
2005-07,0.115,
2005-10,0.020,
2006-01,0.005,
2006-04,0.012,
2006-07,0.008,
2006-10,0.006,
2007-01,0.026,
2007-04,0.008,
2007-07,0.006,
2007-10,0.008,
2008-01,0.008,
2008-04,0.007,
2008-07,0.007,
2008-10,0.007,
2009-01,0.008,
2009-04,0.003,
2009-07,0.017,
2009-10,0.016,
2010-01,0.014,
2010-04,0.016,
2010-07,0.014,
2010-10,0.013,
2011-01,0.061,
2011-04,0.064,
2011-07,0.027,
2011-10,0.025,
2012-01,0.034,
2012-04,0.071,
2012-07,0.093,
2012-10,0.086,
2013-01,0.091,
2013-04,0.102,
2013-07,0.103,
2013-10,0.084,
2014-01,0.068,
2014-04,0.046,
2014-07,0.042,
