"",BBK01.OEXO06H,BBK01.OEXO06H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:52,
2002-01,5.112,
2002-04,4.954,
2002-07,4.943,
2002-10,4.973,
2003-01,4.797,
2003-04,4.754,
2003-07,4.821,
2003-10,4.970,
2004-01,4.957,
2004-04,4.475,
2004-07,4.700,
2004-10,4.995,
2005-01,5.367,
2005-04,5.594,
2005-07,5.798,
2005-10,5.974,
2006-01,5.951,
2006-04,5.862,
2006-07,5.700,
2006-10,5.671,
2007-01,5.770,
2007-04,5.777,
2007-07,5.699,
2007-10,5.951,
2008-01,5.979,
2008-04,5.878,
2008-07,5.826,
2008-10,6.816,
2009-01,7.034,
2009-04,7.139,
2009-07,7.619,
2009-10,7.522,
2010-01,7.202,
2010-04,7.110,
2010-07,7.217,
2010-10,8.242,
2011-01,9.028,
2011-04,8.932,
2011-07,9.036,
2011-10,10.133,
2012-01,10.841,
2012-04,10.863,
2012-07,10.733,
2012-10,10.510,
2013-01,10.166,
2013-04,9.531,
2013-07,9.166,
2013-10,8.792,
2014-01,8.295,
2014-04,8.039,
2014-07,8.238,
