"",BBK01.OELB20T,BBK01.OELB20T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:40:36,
2002-01,0.953,
2002-04,0.970,
2002-07,0.984,
2002-10,1.002,
2003-01,0.998,
2003-04,1.008,
2003-07,1.014,
2003-10,1.030,
2004-01,1.039,
2004-04,1.032,
2004-07,1.041,
2004-10,1.088,
2005-01,1.084,
2005-04,1.090,
2005-07,1.099,
2005-10,1.108,
2006-01,1.100,
2006-04,1.102,
2006-07,1.125,
2006-10,1.110,
2007-01,1.106,
2007-04,1.101,
2007-07,1.095,
2007-10,1.092,
2008-01,1.092,
2008-04,1.093,
2008-07,1.091,
2008-10,1.096,
2009-01,1.089,
2009-04,1.105,
2009-07,1.114,
2009-10,1.120,
2010-01,1.114,
2010-04,1.120,
2010-07,1.124,
2010-10,1.123,
2011-01,1.132,
2011-04,1.132,
2011-07,1.170,
2011-10,1.173,
2012-01,1.173,
2012-04,1.211,
2012-07,1.216,
2012-10,1.226,
2013-01,1.204,
2013-04,1.207,
2013-07,1.217,
2013-10,1.212,
2014-01,1.206,
2014-04,1.230,
2014-07,1.238,
