"",BBK01.OEAH72M,BBK01.OEAH72M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:27:02,
2002-01,0.826,
2002-04,0.845,
2002-07,0.693,
2002-10,1.093,
2003-01,0.819,
2003-04,0.854,
2003-07,0.784,
2003-10,1.091,
2004-01,0.845,
2004-04,0.991,
2004-07,0.819,
2004-10,0.951,
2005-01,0.917,
2005-04,1.168,
2005-07,1.069,
2005-10,1.264,
2006-01,1.039,
2006-04,1.196,
2006-07,1.301,
2006-10,1.445,
2007-01,1.447,
2007-04,1.547,
2007-07,1.311,
2007-10,1.452,
2008-01,1.385,
2008-04,1.249,
2008-07,1.273,
2008-10,2.895,
2009-01,2.148,
2009-04,3.162,
2009-07,3.049,
2009-10,2.305,
2010-01,2.042,
2010-04,3.036,
2010-07,2.856,
2010-10,3.295,
2011-01,2.437,
2011-04,2.982,
2011-07,3.258,
2011-10,3.007,
2012-01,3.584,
2012-04,4.461,
2012-07,4.391,
2012-10,3.510,
2013-01,3.353,
2013-04,3.168,
2013-07,3.180,
2013-10,3.424,
2014-01,3.687,
2014-04,3.320,
2014-07,3.595,
