"",BBK01.OEXO05M,BBK01.OEXO05M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:07,
2002-01,0.012,
2002-04,0.009,
2002-07,0.010,
2002-10,0.070,
2003-01,0.009,
2003-04,0.006,
2003-07,0.007,
2003-10,0.064,
2004-01,0.004,
2004-04,0.004,
2004-07,0.005,
2004-10,0.059,
2005-01,0.004,
2005-04,0.005,
2005-07,0.006,
2005-10,0.057,
2006-01,0.003,
2006-04,0.004,
2006-07,0.005,
2006-10,0.062,
2007-01,0.055,
2007-04,0.007,
2007-07,0.010,
2007-10,0.059,
2008-01,0.018,
2008-04,0.014,
2008-07,0.011,
2008-10,0.066,
2009-01,0.016,
2009-04,0.012,
2009-07,0.015,
2009-10,0.075,
2010-01,0.010,
2010-04,0.004,
2010-07,0.007,
2010-10,0.038,
2011-01,0.003,
2011-04,0.002,
2011-07,0.006,
2011-10,0.051,
2012-01,0.008,
2012-04,0.004,
2012-07,0.007,
2012-10,0.051,
2013-01,0.005,
2013-04,0.004,
2013-07,0.002,
2013-10,0.043,
2014-01,0.002,
2014-04,0.001,
2014-07,0.001,
