"",BBK01.CEF0M0,BBK01.CEF0M0_FLAGS
"",Total liabilities  debtor: Non-profit institutions serving households creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:32:40,
1999-01,14.5,
1999-04,14.9,
1999-07,15.1,
1999-10,15.4,
2000-01,15.8,
2000-04,15.7,
2000-07,15.7,
2000-10,15.9,
2001-01,15.8,
2001-04,15.8,
2001-07,16.0,
2001-10,16.1,
2002-01,15.8,
2002-04,16.2,
2002-07,16.5,
2002-10,16.4,
2003-01,16.4,
2003-04,16.3,
2003-07,15.8,
2003-10,15.8,
2004-01,15.8,
2004-04,15.4,
2004-07,15.5,
2004-10,15.2,
2005-01,15.1,
2005-04,15.1,
2005-07,15.7,
2005-10,16.0,
2006-01,16.0,
2006-04,16.0,
2006-07,16.1,
2006-10,16.4,
2007-01,16.4,
2007-04,16.0,
2007-07,15.9,
2007-10,15.8,
2008-01,15.6,
2008-04,15.5,
2008-07,15.3,
2008-10,15.6,
2009-01,15.4,
2009-04,14.7,
2009-07,15.2,
2009-10,15.1,
2010-01,15.1,
2010-04,15.0,
2010-07,15.2,
2010-10,15.3,
2011-01,15.4,
2011-04,15.5,
2011-07,15.5,
2011-10,15.4,
2012-01,15.5,
2012-04,15.5,
2012-07,15.5,
2012-10,15.2,
2013-01,15.2,
2013-04,15.4,
2013-07,15.2,
2013-10,15.5,
2014-01,15.3,
2014-04,15.2,
2014-07,15.0,
