"",BBK01.OEHB04U,BBK01.OEHB04U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:32,
2002-01,7.027,
2002-04,7.118,
2002-07,7.176,
2002-10,7.379,
2003-01,7.409,
2003-04,7.432,
2003-07,7.437,
2003-10,7.499,
2004-01,7.464,
2004-04,7.503,
2004-07,7.517,
2004-10,7.641,
2005-01,7.538,
2005-04,7.565,
2005-07,7.583,
2005-10,7.633,
2006-01,7.575,
2006-04,7.644,
2006-07,7.685,
2006-10,7.650,
2007-01,7.565,
2007-04,7.546,
2007-07,7.493,
2007-10,7.469,
2008-01,7.423,
2008-04,7.468,
2008-07,7.525,
2008-10,7.570,
2009-01,7.547,
2009-04,7.629,
2009-07,7.699,
2009-10,7.758,
2010-01,7.757,
2010-04,7.845,
2010-07,7.927,
2010-10,7.978,
2011-01,7.951,
2011-04,8.017,
2011-07,8.082,
2011-10,8.165,
2012-01,8.187,
2012-04,8.288,
2012-07,8.361,
2012-10,8.418,
2013-01,8.399,
2013-04,8.525,
2013-07,8.670,
2013-10,8.819,
2014-01,8.900,
2014-04,9.039,
2014-07,9.146,
