"",BBK01.OEHB12L,BBK01.OEHB12L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:48,
2002-01,7.600,
2002-04,7.500,
2002-07,7.629,
2002-10,7.699,
2003-01,7.389,
2003-04,7.438,
2003-07,7.395,
2003-10,7.280,
2004-01,7.241,
2004-04,7.207,
2004-07,7.243,
2004-10,7.267,
2005-01,7.166,
2005-04,7.129,
2005-07,7.094,
2005-10,7.092,
2006-01,7.003,
2006-04,6.916,
2006-07,6.948,
2006-10,6.981,
2007-01,6.922,
2007-04,6.900,
2007-07,6.908,
2007-10,7.001,
2008-01,7.117,
2008-04,7.424,
2008-07,7.786,
2008-10,7.840,
2009-01,7.971,
2009-04,8.112,
2009-07,8.332,
2009-10,8.464,
2010-01,8.482,
2010-04,8.612,
2010-07,8.805,
2010-10,8.978,
2011-01,8.967,
2011-04,8.980,
2011-07,9.081,
2011-10,9.275,
2012-01,9.342,
2012-04,9.496,
2012-07,9.572,
2012-10,9.768,
2013-01,9.862,
2013-04,9.929,
2013-07,10.076,
2013-10,10.140,
2014-01,10.163,
2014-04,10.440,
2014-07,10.586,
