"",BBSF2.M.1.S.00000.IMM01.I.F.DGG.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.IMM01.I.F.DGG.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Real estate funds / Loans granted to real estate companies,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:41:48,
2009-01,-,Nothing exists
2009-02,-,Nothing exists
2009-03,-,Nothing exists
2009-04,-,Nothing exists
2009-05,-,Nothing exists
2009-06,-,Nothing exists
2009-07,-,Nothing exists
2009-08,-,Nothing exists
2009-09,913,
2009-10,970,
2009-11,966,
2009-12,1014,
2010-01,1064,
2010-02,970,
2010-03,1085,
2010-04,1094,
2010-05,985,
2010-06,1138,
2010-07,1155,
2010-08,1148,
2010-09,1128,
2010-10,1140,
2010-11,1178,
2010-12,1201,
2011-01,1225,
2011-02,1228,
2011-03,1223,
2011-04,1239,
2011-05,1261,
2011-06,1279,
2011-07,1329,
2011-08,1312,
2011-09,1399,
2011-10,1421,
2011-11,1509,
2011-12,1468,
2012-01,1492,
2012-02,1500,
2012-03,1677,
2012-04,1627,
2012-05,1710,
2012-06,1722,
2012-07,2016,
2012-08,1987,
2012-09,1726,
2012-10,1763,
2012-11,1775,
2012-12,1823,
2013-01,1849,
2013-02,1865,
2013-03,1944,
2013-04,1950,
2013-05,1967,
2013-06,2055,
2013-07,2127,
2013-08,2179,
2013-09,2216,
2013-10,2159,
2013-11,2209,
2013-12,2285,
2014-01,2333,
2014-02,2385,
2014-03,2368,
2014-04,2361,
2014-05,2460,
2014-06,2505,
2014-07,2597,
2014-08,2641,
2014-09,2636,
2014-10,2667,
2014-11,2693,
