"",BBK01.OEAE11R,BBK01.OEAE11R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:36,
2002-01,0.252,
2002-04,0.293,
2002-07,0.323,
2002-10,0.317,
2003-01,0.295,
2003-04,0.276,
2003-07,0.275,
2003-10,0.256,
2004-01,0.257,
2004-04,0.261,
2004-07,0.282,
2004-10,0.287,
2005-01,0.256,
2005-04,0.258,
2005-07,0.251,
2005-10,0.239,
2006-01,0.227,
2006-04,0.226,
2006-07,0.200,
2006-10,0.199,
2007-01,0.198,
2007-04,0.212,
2007-07,0.194,
2007-10,0.169,
2008-01,0.167,
2008-04,0.152,
2008-07,0.144,
2008-10,0.143,
2009-01,0.181,
2009-04,0.198,
2009-07,0.185,
2009-10,0.161,
2010-01,0.159,
2010-04,0.158,
2010-07,0.160,
2010-10,0.128,
2011-01,0.121,
2011-04,0.132,
2011-07,0.113,
2011-10,0.103,
2012-01,0.102,
2012-04,0.123,
2012-07,0.129,
2012-10,0.121,
2013-01,0.145,
2013-04,0.141,
2013-07,0.137,
2013-10,0.127,
2014-01,0.125,
2014-04,0.155,
2014-07,0.139,
