"",BBK01.OEAC30N,BBK01.OEAC30N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:52:46,
2002-01,2.837,
2002-04,2.837,
2002-07,2.812,
2002-10,2.580,
2003-01,2.697,
2003-04,2.691,
2003-07,2.619,
2003-10,2.342,
2004-01,2.326,
2004-04,2.339,
2004-07,2.326,
2004-10,2.054,
2005-01,2.213,
2005-04,2.158,
2005-07,2.087,
2005-10,2.093,
2006-01,2.112,
2006-04,2.140,
2006-07,2.164,
2006-10,2.008,
2007-01,2.028,
2007-04,2.013,
2007-07,1.839,
2007-10,1.755,
2008-01,1.859,
2008-04,1.801,
2008-07,1.785,
2008-10,1.691,
2009-01,1.803,
2009-04,1.747,
2009-07,1.713,
2009-10,1.545,
2010-01,1.670,
2010-04,1.660,
2010-07,1.613,
2010-10,1.533,
2011-01,1.598,
2011-04,1.586,
2011-07,1.529,
2011-10,1.388,
2012-01,1.490,
2012-04,1.476,
2012-07,1.438,
2012-10,1.343,
2013-01,1.483,
2013-04,1.487,
2013-07,1.453,
2013-10,1.331,
2014-01,1.348,
2014-04,1.355,
2014-07,1.293,
