"",BBEX3.A.AED.USD.CA.AC.A04,BBEX3.A.AED.USD.CA.AC.A04_FLAGS
"",Exchange rates for the US dollar in the United Arab Emirates / USD 1 = AED ... (middle),
unit,AED (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-19 15:12:34,
1981,3.67100,
1982,3.67100,
1983,3.67100,
1984,3.67100,
1985,3.67100,
1986,3.67100,
1987,3.67100,
1988,3.67100,
1989,3.67100,
1990,3.67100,
1991,3.67100,
1992,3.67100,
1993,3.67100,
1994,3.67100,
1995,3.67100,
1996,3.67100,
1997,3.67100,
1998,3.67100,
1999,3.67100,
2000,3.67100,
2001,3.67100,
2002,3.67100,
2003,3.67100,
2004,3.67100,
2005,3.67100,
2006,3.67100,
2007,3.67100,
2008,3.67100,
2009,3.66817,
2010,3.66900,
2011,3.66900,
2012,3.66900,
2013,3.66900,
2014,3.67250,
"","General: The Dirham is pegged to the US dollar; until 17 February 2002, de jure pegged to the SDR.",
"","Source: Since October 2007: Emirates NBD, Dubai 1981 - September 2007: National Bank of Dubai Ltd., Dubai",
"",Methodology: Calculated on the basis of month-end buying and selling rates.,
