"",BBSF2.M.1.P.00000.TOT01.I.F.SVG.FR.00000.F03300.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.SVG.FR.00000.F03300.Z01.00_FLAGS
"",Public funds / Funds total / Debt securities total / France,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:40,
2009-09,7044,
2009-10,6952,
2009-11,7295,
2009-12,7153,
2010-01,7645,
2010-02,7686,
2010-03,7887,
2010-04,8141,
2010-05,7835,
2010-06,7736,
2010-07,7740,
2010-08,7757,
2010-09,7689,
2010-10,7460,
2010-11,7385,
2010-12,7205,
2011-01,7431,
2011-02,7372,
2011-03,7283,
2011-04,7549,
2011-05,7794,
2011-06,7697,
2011-07,7855,
2011-08,7470,
2011-09,7659,
2011-10,7440,
2011-11,7017,
2011-12,7129,
2012-01,7483,
2012-02,7970,
2012-03,7991,
2012-04,8003,
2012-05,7990,
2012-06,8193,
2012-07,8180,
2012-08,8191,
2012-09,8231,
2012-10,8232,
2012-11,8376,
2012-12,8425,
2013-01,8272,
2013-02,8291,
2013-03,8525,
2013-04,8872,
2013-05,8681,
2013-06,8602,
2013-07,8851,
2013-08,8819,
2013-09,8841,
2013-10,8818,
2013-11,8963,
2013-12,8894,
2014-01,9270,
2014-02,9659,
2014-03,9720,
2014-04,9656,
2014-05,9901,
2014-06,9956,
2014-07,9969,
2014-08,9971,
2014-09,10294,
2014-10,10272,
2014-11,10666,
