"",BBFB1.Q.N.DE.SE.S1.S1.T.A.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.SE.S1.S1.T.A.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Sweden,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:43:35,
1991-01,-13.366,
1991-04,355.392,
1991-07,-1333.210,
1991-10,-199.508,
1992-01,594.801,
1992-04,-294.316,
1992-07,-1181.810,
1992-10,-474.281,
1993-01,-88.773,
1993-04,-360.792,
1993-07,45.082,
1993-10,-46.272,
1994-01,-198.431,
1994-04,-66.180,
1994-07,-311.978,
1994-10,116.734,
1995-01,242.447,
1995-04,73.064,
1995-07,-103.775,
1995-10,586.104,
1996-01,-490.235,
1996-04,12.831,
1996-07,123.583,
1996-10,-9.362,
1997-01,56.556,
1997-04,95.695,
1997-07,1.340,
1997-10,922.196,
1998-01,690.172,
1998-04,956.992,
1998-07,-178.721,
1998-10,1398.702,
1999-01,-318.918,
1999-04,6391.531,
1999-07,-2095.534,
1999-10,-1049.010,
2000-01,3649.144,
2000-04,-522.989,
2000-07,128.072,
2000-10,-2900.070,
2001-01,-567.283,
2001-04,-194.841,
2001-07,1449.761,
2001-10,-1620.281,
2002-01,43.999,
2002-04,510.386,
2002-07,-489.254,
2002-10,1970.169,
2003-01,-150.440,
2003-04,692.112,
2003-07,-2394.730,
2003-10,620.211,
2004-01,7173.419,
2004-04,-4025.258,
2004-07,-155.442,
2004-10,5439.981,
2005-01,106.928,
2005-04,-1129.648,
2005-07,504.759,
2005-10,-4616.403,
2006-01,5236.978,
2006-04,-2042.925,
2006-07,91.868,
2006-10,-1583.648,
2007-01,734.106,
2007-04,2279.832,
2007-07,1027.761,
2007-10,-4873.303,
2008-01,3304.606,
2008-04,-585.657,
2008-07,200.217,
2008-10,1354.025,
2009-01,-1953.795,
2009-04,-195.023,
2009-07,413.810,
2009-10,79.655,
2010-01,35.887,
2010-04,811.034,
2010-07,-1582.979,
2010-10,1333.521,
2011-01,36.025,
2011-04,2829.109,
2011-07,-3339.140,
2011-10,355.177,
2012-01,800.440,
2012-04,413.238,
2012-07,-343.101,
2012-10,-473.336,
2013-01,272.500,
2013-04,1239.189,
2013-07,-473.308,
2013-10,-396.781,
2014-01,484.900,Provisional value
2014-04,1174.636,Provisional value
2014-07,-2271.395,Provisional value
2014-10,-1426.564,Provisional value
