"",BBK01.OEXI05G,BBK01.OEXI05G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:54,
2002-01,21.370,
2002-04,21.560,
2002-07,21.551,
2002-10,21.719,
2003-01,21.249,
2003-04,21.030,
2003-07,21.103,
2003-10,20.672,
2004-01,20.342,
2004-04,20.012,
2004-07,19.630,
2004-10,19.630,
2005-01,6.466,
2005-04,6.531,
2005-07,0.890,
2005-10,1.568,
2006-01,1.581,
2006-04,1.539,
2006-07,1.328,
2006-10,1.037,
2007-01,1.134,
2007-04,1.171,
2007-07,1.157,
2007-10,1.163,
2008-01,1.142,
2008-04,1.352,
2008-07,1.506,
2008-10,1.631,
2009-01,2.313,
2009-04,2.714,
2009-07,2.784,
2009-10,3.088,
2010-01,5.066,
2010-04,4.905,
2010-07,4.874,
2010-10,4.750,
2011-01,4.851,
2011-04,5.198,
2011-07,6.616,
2011-10,7.117,
2012-01,7.150,
2012-04,7.318,
2012-07,7.070,
2012-10,7.115,
2013-01,6.590,
2013-04,6.524,
2013-07,6.821,
2013-10,7.729,
2014-01,7.680,
2014-04,7.883,
2014-07,7.677,
