"",BBK01.OEAA54K,BBK01.OEAA54K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:17:14,
2002-01,3.329,
2002-04,3.135,
2002-07,3.108,
2002-10,3.176,
2003-01,3.285,
2003-04,3.181,
2003-07,3.110,
2003-10,2.667,
2004-01,2.707,
2004-04,4.029,
2004-07,3.739,
2004-10,3.118,
2005-01,2.861,
2005-04,3.079,
2005-07,3.264,
2005-10,3.362,
2006-01,3.399,
2006-04,3.564,
2006-07,4.201,
2006-10,4.696,
2007-01,4.802,
2007-04,5.478,
2007-07,5.754,
2007-10,6.196,
2008-01,6.452,
2008-04,7.369,
2008-07,9.102,
2008-10,9.918,
2009-01,10.008,
2009-04,9.829,
2009-07,9.283,
2009-10,8.254,
2010-01,7.090,
2010-04,7.543,
2010-07,7.085,
2010-10,7.030,
2011-01,6.462,
2011-04,5.832,
2011-07,7.195,
2011-10,6.925,
2012-01,6.347,
2012-04,6.438,
2012-07,6.509,
2012-10,6.162,
2013-01,5.985,
2013-04,5.804,
2013-07,5.554,
2013-10,4.693,
2014-01,5.147,
2014-04,5.178,
2014-07,5.515,
