"",BBK01.OECK02J,BBK01.OECK02J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:08:43,
2002-01,0.066,
2002-04,0.079,
2002-07,0.071,
2002-10,0.078,
2003-01,0.079,
2003-04,0.069,
2003-07,0.068,
2003-10,0.077,
2004-01,0.071,
2004-04,0.074,
2004-07,0.186,
2004-10,0.075,
2005-01,0.078,
2005-04,0.081,
2005-07,0.082,
2005-10,0.098,
2006-01,0.097,
2006-04,0.096,
2006-07,0.085,
2006-10,0.104,
2007-01,0.094,
2007-04,0.105,
2007-07,0.102,
2007-10,0.117,
2008-01,0.101,
2008-04,0.109,
2008-07,0.105,
2008-10,0.137,
2009-01,0.197,
2009-04,0.209,
2009-07,0.223,
2009-10,0.203,
2010-01,0.231,
2010-04,0.229,
2010-07,0.190,
2010-10,0.204,
2011-01,0.200,
2011-04,0.180,
2011-07,0.176,
2011-10,0.184,
2012-01,0.214,
2012-04,0.220,
2012-07,0.212,
2012-10,0.216,
2013-01,0.232,
2013-04,0.224,
2013-07,0.225,
2013-10,0.231,
2014-01,0.235,
2014-04,0.232,
2014-07,0.239,
