"",BBK01.OEHI04P,BBK01.OEHI04P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:46,
2002-01,0.846,
2002-04,0.823,
2002-07,0.787,
2002-10,0.793,
2003-01,0.766,
2003-04,0.738,
2003-07,0.704,
2003-10,0.593,
2004-01,0.609,
2004-04,0.622,
2004-07,0.642,
2004-10,0.627,
2005-01,0.679,
2005-04,0.678,
2005-07,0.635,
2005-10,0.731,
2006-01,0.650,
2006-04,0.634,
2006-07,0.787,
2006-10,0.905,
2007-01,0.795,
2007-04,0.899,
2007-07,1.101,
2007-10,1.166,
2008-01,1.196,
2008-04,1.169,
2008-07,1.390,
2008-10,1.254,
2009-01,1.096,
2009-04,1.058,
2009-07,0.849,
2009-10,0.924,
2010-01,0.716,
2010-04,0.610,
2010-07,0.621,
2010-10,0.880,
2011-01,0.628,
2011-04,0.609,
2011-07,0.629,
2011-10,0.796,
2012-01,0.724,
2012-04,0.704,
2012-07,0.679,
2012-10,0.858,
2013-01,1.005,
2013-04,0.627,
2013-07,0.661,
2013-10,0.790,
2014-01,0.543,
2014-04,0.517,
2014-07,0.627,
