"",BBK01.OEAC16U,BBK01.OEAC16U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:51:22,
2002-01,1.951,
2002-04,1.941,
2002-07,1.914,
2002-10,1.875,
2003-01,1.842,
2003-04,1.798,
2003-07,1.722,
2003-10,1.632,
2004-01,1.678,
2004-04,1.592,
2004-07,1.553,
2004-10,1.444,
2005-01,1.494,
2005-04,1.483,
2005-07,1.453,
2005-10,1.364,
2006-01,1.411,
2006-04,1.366,
2006-07,1.342,
2006-10,1.330,
2007-01,1.338,
2007-04,1.447,
2007-07,1.380,
2007-10,1.326,
2008-01,1.486,
2008-04,1.501,
2008-07,1.410,
2008-10,1.377,
2009-01,1.396,
2009-04,1.393,
2009-07,1.349,
2009-10,1.190,
2010-01,1.215,
2010-04,1.244,
2010-07,1.158,
2010-10,1.028,
2011-01,1.132,
2011-04,1.169,
2011-07,1.152,
2011-10,1.094,
2012-01,1.181,
2012-04,1.181,
2012-07,1.168,
2012-10,1.074,
2013-01,1.163,
2013-04,1.166,
2013-07,1.141,
2013-10,1.049,
2014-01,1.131,
2014-04,1.168,
2014-07,1.107,
