"",BBK01.CEBH20,BBK01.CEBH20_FLAGS
"",Shares debtor: Domestic financial corporations                   creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:18:43,
1991-01,132.4,
1991-04,138.7,
1991-07,131.9,
1991-10,135.4,
1992-01,148.8,
1992-04,147.9,
1992-07,127.8,
1992-10,137.6,
1993-01,155.5,
1993-04,157.5,
1993-07,183.1,
1993-10,206.8,
1994-01,185.7,
1994-04,188.5,
1994-07,184.4,
1994-10,193.6,
1995-01,218.6,
1995-04,242.4,
1995-07,248.6,
1995-10,256.8,
1996-01,253.2,
1996-04,264.9,
1996-07,283.1,
1996-10,284.6,
1997-01,334.1,
1997-04,365.1,
1997-07,433.1,
1997-10,459.4,
1998-01,482.9,
1998-04,539.7,
1998-07,434.9,
1998-10,499.0,
1999-01,531.7,
1999-04,508.5,
1999-07,480.3,
1999-10,599.2,
2000-01,716.1,
2000-04,602.1,
2000-07,646.6,
2000-10,558.2,
2001-01,570.1,
2001-04,580.5,
2001-07,420.4,
2001-10,471.3,
2002-01,525.1,
2002-04,481.3,
2002-07,255.3,
2002-10,212.4,
2003-01,210.2,
2003-04,283.9,
2003-07,280.6,
2003-10,323.0,
2004-01,316.9,
2004-04,321.8,
2004-07,303.6,
2004-10,331.5,
2005-01,351.5,
2005-04,349.5,
2005-07,401.7,
2005-10,435.0,
2006-01,469.8,
2006-04,440.7,
2006-07,498.0,
2006-10,522.8,
2007-01,565.7,
2007-04,593.1,
2007-07,556.2,
2007-10,574.0,
2008-01,485.6,
2008-04,448.8,
2008-07,374.9,
2008-10,253.3,
2009-01,227.3,
2009-04,244.9,
2009-07,292.9,
2009-10,299.2,
2010-01,326.6,
2010-04,289.6,
2010-07,262.1,
2010-10,283.0,
2011-01,295.8,
2011-04,292.0,
2011-07,221.5,
2011-10,228.2,
2012-01,274.2,
2012-04,240.0,
2012-07,263.6,
2012-10,287.7,
2013-01,295.7,
2013-04,303.2,
2013-07,315.6,
2013-10,348.1,
2014-01,342.5,
