"",BBK01.OEAO02N,BBK01.OEAO02N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:14,
2002-01,21.409,
2002-04,16.272,
2002-07,15.435,
2002-10,18.813,
2003-01,19.246,
2003-04,15.571,
2003-07,16.880,
2003-10,17.395,
2004-01,19.678,
2004-04,15.344,
2004-07,15.469,
2004-10,14.791,
2005-01,14.669,
2005-04,12.403,
2005-07,10.272,
2005-10,11.793,
2006-01,14.925,
2006-04,12.150,
2006-07,11.352,
2006-10,12.770,
2007-01,15.146,
2007-04,12.103,
2007-07,12.910,
2007-10,13.348,
2008-01,13.396,
2008-04,10.677,
2008-07,11.704,
2008-10,19.406,
2009-01,14.116,
2009-04,12.252,
2009-07,10.010,
2009-10,12.904,
2010-01,17.236,
2010-04,12.289,
2010-07,12.887,
2010-10,13.811,
2011-01,14.936,
2011-04,12.395,
2011-07,12.247,
2011-10,11.807,
2012-01,14.629,
2012-04,11.490,
2012-07,11.849,
2012-10,12.023,
2013-01,12.941,
2013-04,10.946,
2013-07,10.392,
2013-10,10.577,
2014-01,10.684,
2014-04,9.345,
2014-07,10.504,
