"",BBK01.OELK04M,BBK01.OELK04M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:10:32,
2002-01,0.867,
2002-04,0.835,
2002-07,0.826,
2002-10,0.830,
2003-01,0.811,
2003-04,0.748,
2003-07,0.722,
2003-10,0.720,
2004-01,0.713,
2004-04,0.677,
2004-07,0.663,
2004-10,0.658,
2005-01,0.668,
2005-04,0.646,
2005-07,0.641,
2005-10,0.663,
2006-01,0.702,
2006-04,0.705,
2006-07,0.716,
2006-10,0.736,
2007-01,0.766,
2007-04,0.761,
2007-07,0.794,
2007-10,0.876,
2008-01,0.925,
2008-04,0.920,
2008-07,0.952,
2008-10,1.104,
2009-01,0.969,
2009-04,0.862,
2009-07,0.778,
2009-10,0.696,
2010-01,0.665,
2010-04,0.608,
2010-07,0.588,
2010-10,0.596,
2011-01,0.598,
2011-04,0.589,
2011-07,0.643,
2011-10,0.639,
2012-01,0.622,
2012-04,0.615,
2012-07,0.575,
2012-10,0.518,
2013-01,0.488,
2013-04,0.458,
2013-07,0.426,
2013-10,0.418,
2014-01,0.390,
2014-04,0.382,
2014-07,0.368,
