"",BBSF2.M.1.P.00000.IMM01.I.F.SVG.Z5.00000.F03300.Z01.00,BBSF2.M.1.P.00000.IMM01.I.F.SVG.Z5.00000.F03300.Z01.00_FLAGS
"",Public funds / Real estate funds / Debt securities total,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:41:28,
2009-09,3613,
2009-10,3568,
2009-11,4157,
2009-12,4187,
2010-01,4745,
2010-02,5152,
2010-03,5440,
2010-04,5546,
2010-05,5403,
2010-06,5418,
2010-07,5465,
2010-08,5551,
2010-09,5397,
2010-10,4750,
2010-11,4778,
2010-12,4730,
2011-01,3353,
2011-02,2834,
2011-03,2708,
2011-04,2267,
2011-05,2692,
2011-06,2519,
2011-07,2611,
2011-08,2475,
2011-09,2256,
2011-10,2251,
2011-11,2632,
2011-12,2518,
2012-01,2432,
2012-02,2435,
2012-03,2472,
2012-04,2386,
2012-05,1605,
2012-06,1475,
2012-07,1494,
2012-08,1453,
2012-09,1537,
2012-10,1570,
2012-11,1479,
2012-12,1727,
2013-01,2044,
2013-02,2267,
2013-03,2207,
2013-04,2207,
2013-05,2633,
2013-06,2844,
2013-07,2858,
2013-08,2986,
2013-09,3047,
2013-10,3019,
2013-11,3311,
2013-12,3119,
2014-01,3343,
2014-02,3200,
2014-03,3142,
2014-04,3058,
2014-05,3016,
2014-06,3022,
2014-07,3059,
2014-08,3092,
2014-09,2846,
2014-10,2845,
2014-11,2797,
