"",BBK01.CEH203,BBK01.CEH203_FLAGS
"",Currency and deposits debtor: All sectors                    creditor: Monetary financial institutions,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:16:45,
1991-01,-24.6,
1991-04,-2.3,
1991-07,-4.7,
1991-10,48.1,
1992-01,-15.0,
1992-04,-9.2,
1992-07,23.5,
1992-10,32.3,
1993-01,14.9,
1993-04,35.1,
1993-07,8.5,
1993-10,73.0,
1994-01,-61.8,
1994-04,2.2,
1994-07,-20.5,
1994-10,80.5,
1995-01,-30.6,
1995-04,18.0,
1995-07,33.7,
1995-10,74.2,
1996-01,3.2,
1996-04,-2.8,
1996-07,26.5,
1996-10,80.0,
1997-01,-5.6,
1997-04,48.5,
1997-07,-5.1,
1997-10,92.4,
1998-01,-0.3,
1998-04,47.3,
1998-07,18.6,
1998-10,70.5,
1999-01,-26.8,
1999-04,22.6,
1999-07,51.0,
1999-10,15.7,
2000-01,16.9,
2000-04,-6.9,
2000-07,3.1,
2000-10,108.0,
2001-01,17.7,
2001-04,2.1,
2001-07,50.9,
2001-10,18.5,
2002-01,-70.4,
2002-04,61.7,
2002-07,42.1,
2002-10,112.2,
2003-01,28.4,
2003-04,81.9,
2003-07,-85.8,
2003-10,54.5,
2004-01,-28.8,
2004-04,83.0,
2004-07,6.8,
2004-10,66.6,
2005-01,33.4,
2005-04,82.8,
2005-07,7.3,
2005-10,-19.4,
2006-01,73.2,
2006-04,67.4,
2006-07,-12.8,
2006-10,97.8,
2007-01,33.9,
2007-04,43.9,
2007-07,82.4,
2007-10,157.4,
2008-01,-78.7,
2008-04,-0.2,
2008-07,192.1,
2008-10,105.0,
2009-01,-303.3,
2009-04,80.6,
2009-07,-216.3,
2009-10,-6.2,
2010-01,-13.2,
2010-04,127.6,
2010-07,-264.5,
2010-10,-30.6,
2011-01,-104.5,
2011-04,-34.3,
2011-07,137.0,
2011-10,24.4,
2012-01,218.0,
2012-04,-17.9,
2012-07,-84.8,
2012-10,-167.5,
2013-01,-127.4,
2013-04,-52.4,
2013-07,-63.7,
2013-10,-35.3,
2014-01,-4.2,
