"",BBK01.OEXB17I,BBK01.OEXB17I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:14,
2002-01,7.628,
2002-04,7.840,
2002-07,8.021,
2002-10,7.914,
2003-01,7.878,
2003-04,8.581,
2003-07,5.775,
2003-10,5.912,
2004-01,5.929,
2004-04,6.243,
2004-07,6.393,
2004-10,6.463,
2005-01,6.970,
2005-04,7.185,
2005-07,7.650,
2005-10,8.374,
2006-01,8.912,
2006-04,9.061,
2006-07,9.482,
2006-10,11.522,
2007-01,12.951,
2007-04,13.737,
2007-07,14.530,
2007-10,14.879,
2008-01,16.462,
2008-04,18.064,
2008-07,19.292,
2008-10,21.622,
2009-01,22.126,
2009-04,22.456,
2009-07,22.590,
2009-10,23.113,
2010-01,22.984,
2010-04,22.761,
2010-07,22.276,
2010-10,21.834,
2011-01,21.523,
2011-04,21.350,
2011-07,21.180,
2011-10,20.249,
2012-01,19.990,
2012-04,19.806,
2012-07,19.437,
2012-10,19.150,
2013-01,18.830,
2013-04,18.701,
2013-07,18.596,
2013-10,18.477,
2014-01,18.262,
2014-04,18.168,
2014-07,18.121,
