"",BBK01.OEAA45S,BBK01.OEAA45S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:20:12,
2002-01,3.195,
2002-04,3.162,
2002-07,3.203,
2002-10,3.385,
2003-01,3.406,
2003-04,3.411,
2003-07,3.449,
2003-10,3.709,
2004-01,3.642,
2004-04,3.656,
2004-07,3.736,
2004-10,4.243,
2005-01,4.366,
2005-04,4.443,
2005-07,4.475,
2005-10,4.446,
2006-01,4.436,
2006-04,4.431,
2006-07,4.483,
2006-10,4.444,
2007-01,4.548,
2007-04,4.654,
2007-07,4.761,
2007-10,4.628,
2008-01,4.726,
2008-04,4.963,
2008-07,5.134,
2008-10,5.084,
2009-01,5.089,
2009-04,5.269,
2009-07,5.279,
2009-10,5.201,
2010-01,5.355,
2010-04,5.713,
2010-07,5.750,
2010-10,5.676,
2011-01,5.867,
2011-04,6.155,
2011-07,6.324,
2011-10,6.482,
2012-01,6.463,
2012-04,6.386,
2012-07,6.386,
2012-10,6.396,
2013-01,6.285,
2013-04,6.174,
2013-07,6.132,
2013-10,5.964,
2014-01,5.876,
2014-04,5.670,
2014-07,5.685,
