"",BBK01.OEAE21M,BBK01.OEAE21M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:26,
2002-01,0.162,
2002-04,0.155,
2002-07,0.152,
2002-10,0.166,
2003-01,0.170,
2003-04,0.284,
2003-07,0.287,
2003-10,0.236,
2004-01,0.250,
2004-04,0.249,
2004-07,0.271,
2004-10,0.261,
2005-01,0.215,
2005-04,0.198,
2005-07,0.203,
2005-10,0.185,
2006-01,0.181,
2006-04,0.161,
2006-07,0.161,
2006-10,0.102,
2007-01,0.182,
2007-04,0.269,
2007-07,0.408,
2007-10,0.412,
2008-01,0.455,
2008-04,0.485,
2008-07,0.531,
2008-10,0.546,
2009-01,0.530,
2009-04,0.470,
2009-07,0.461,
2009-10,0.444,
2010-01,0.502,
2010-04,0.363,
2010-07,0.502,
2010-10,0.540,
2011-01,0.516,
2011-04,0.463,
2011-07,0.490,
2011-10,0.576,
2012-01,0.535,
2012-04,0.600,
2012-07,0.606,
2012-10,0.573,
2013-01,0.568,
2013-04,0.594,
2013-07,0.770,
2013-10,0.523,
2014-01,0.537,
2014-04,0.528,
2014-07,0.482,
