"",BBK01.OEAH59J,BBK01.OEAH59J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:25:15,
2002-01,1.379,
2002-04,1.308,
2002-07,1.293,
2002-10,1.322,
2003-01,1.235,
2003-04,1.185,
2003-07,1.162,
2003-10,1.149,
2004-01,1.186,
2004-04,1.153,
2004-07,1.013,
2004-10,0.950,
2005-01,1.052,
2005-04,1.041,
2005-07,1.081,
2005-10,1.080,
2006-01,1.125,
2006-04,1.132,
2006-07,1.191,
2006-10,1.257,
2007-01,1.283,
2007-04,1.346,
2007-07,1.433,
2007-10,1.689,
2008-01,1.618,
2008-04,1.707,
2008-07,1.870,
2008-10,2.066,
2009-01,1.766,
2009-04,1.669,
2009-07,1.405,
2009-10,1.242,
2010-01,1.177,
2010-04,1.107,
2010-07,1.057,
2010-10,1.079,
2011-01,1.110,
2011-04,1.166,
2011-07,1.181,
2011-10,1.220,
2012-01,1.198,
2012-04,1.082,
2012-07,1.037,
2012-10,0.997,
2013-01,0.936,
2013-04,0.901,
2013-07,0.856,
2013-10,0.860,
2014-01,0.820,
2014-04,0.795,
2014-07,0.343,
