"",BBFB1.Q.N.DE.BE.S1.S1.T.B.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.BE.S1.S1.T.B.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods (fob/fob) / Balance / Belgium,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:27:58,
1991-01,-457.378,
1991-04,-463.643,
1991-07,-390.791,
1991-10,-537.417,
1992-01,-436.194,
1992-04,-453.585,
1992-07,-384.033,
1992-10,-310.788,
1993-01,-293.686,
1993-04,-617.701,
1993-07,-312.798,
1993-10,-246.331,
1994-01,-562.251,
1994-04,-651.948,
1994-07,-566.062,
1994-10,108.456,
1995-01,-574.170,
1995-04,-681.463,
1995-07,-465.927,
1995-10,-309.420,
1996-01,31.410,
1996-04,-1084.732,
1996-07,-490.318,
1996-10,-149.942,
1997-01,-636.031,
1997-04,-719.407,
1997-07,-286.467,
1997-10,193.862,
1998-01,-264.142,
1998-04,-412.830,
1998-07,-305.460,
1998-10,-350.349,
1999-01,1187.839,
1999-04,909.975,
1999-07,816.094,
1999-10,1054.143,
2000-01,1450.641,
2000-04,1143.531,
2000-07,622.011,
2000-10,601.292,
2001-01,953.090,
2001-04,1323.287,
2001-07,320.132,
2001-10,581.293,
2002-01,1139.515,
2002-04,839.244,
2002-07,754.242,
2002-10,773.435,
2003-01,1155.205,
2003-04,367.539,
2003-07,731.266,
2003-10,1125.716,
2004-01,1066.404,
2004-04,1100.332,
2004-07,231.181,
2004-10,-44.260,
2005-01,1302.760,
2005-04,610.242,
2005-07,194.444,
2005-10,836.300,
2006-01,1147.879,
2006-04,230.175,
2006-07,-503.437,
2006-10,115.849,
2007-01,2060.617,
2007-04,303.979,
2007-07,-68.452,
2007-10,133.917,
2008-01,788.792,
2008-04,-31.679,
2008-07,-1031.893,
2008-10,-154.685,
2009-01,1451.627,
2009-04,349.087,
2009-07,260.496,
2009-10,554.948,
2010-01,286.703,
2010-04,-339.414,
2010-07,-680.750,
2010-10,-371.631,
2011-01,85.498,
2011-04,-627.821,
2011-07,-777.893,
2011-10,-321.654,
2012-01,676.361,
2012-04,359.853,
2012-07,134.617,
2012-10,854.238,
2013-01,973.258,
2013-04,-289.241,
2013-07,-488.522,
2013-10,-706.777,
2014-01,-37.011,Provisional value
2014-04,-391.290,Provisional value
2014-07,-948.992,Provisional value
