"",BBFB1.M.N.DE.W1.S1.S1.T.D.D45.D.F5._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.D.D45.D.F5._Z._T._X.N_FLAGS
"",Current account / Primary income / Investment income / Income from Direct investment / Equity / Other / Expenditure / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:38:41,
1991-01,64.669,
1991-02,51.181,
1991-03,44.098,
1991-04,52.122,
1991-05,50.723,
1991-06,45.887,
1991-07,65.909,
1991-08,56.548,
1991-09,55.544,
1991-10,62.431,
1991-11,59.971,
1991-12,58.356,
1992-01,58.071,
1992-02,57.072,
1992-03,58.823,
1992-04,65.977,
1992-05,69.293,
1992-06,39.993,
1992-07,62.643,
1992-08,96.870,
1992-09,52.723,
1992-10,76.739,
1992-11,106.889,
1992-12,102.362,
1993-01,114.701,
1993-02,40.100,
1993-03,53.602,
1993-04,143.354,
1993-05,88.436,
1993-06,95.924,
1993-07,46.903,
1993-08,119.507,
1993-09,67.741,
1993-10,147.711,
1993-11,110.861,
1993-12,148.620,
1994-01,34.683,
1994-02,123.458,
1994-03,73.474,
1994-04,104.476,
1994-05,52.502,
1994-06,99.671,
1994-07,110.230,
1994-08,173.487,
1994-09,121.191,
1994-10,135.140,
1994-11,118.097,
1994-12,53.548,
1995-01,242.313,
1995-02,91.332,
1995-03,118.550,
1995-04,91.242,
1995-05,110.249,
1995-06,120.912,
1995-07,115.572,
1995-08,156.145,
1995-09,101.587,
1995-10,44.350,
1995-11,142.144,
1995-12,157.504,
1996-01,116.127,
1996-02,109.288,
1996-03,116.252,
1996-04,82.693,
1996-05,30.756,
1996-06,138.782,
1996-07,108.941,
1996-08,165.396,
1996-09,120.803,
1996-10,27.947,
1996-11,63.212,
1996-12,144.412,
1997-01,198.814,
1997-02,84.963,
1997-03,28.463,
1997-04,67.588,
1997-05,151.596,
1997-06,173.464,
1997-07,99.713,
1997-08,38.358,
1997-09,71.079,
1997-10,184.580,
1997-11,103.978,
1997-12,41.682,
1998-01,132.106,
1998-02,37.403,
1998-03,149.275,
1998-04,124.298,
1998-05,93.895,
1998-06,36.969,
1998-07,136.326,
1998-08,85.132,
1998-09,38.353,
1998-10,162.206,
1998-11,20.443,
1998-12,109.213,
1999-01,125.923,
1999-02,31.361,
1999-03,138.161,
1999-04,31.962,
1999-05,35.693,
1999-06,120.065,
1999-07,128.187,
1999-08,69.347,
1999-09,80.696,
1999-10,39.651,
1999-11,173.583,
1999-12,106.688,
2000-01,45.985,
2000-02,182.938,
2000-03,110.740,
2000-04,46.740,
2000-05,46.502,
2000-06,153.636,
2000-07,47.045,
2000-08,36.902,
2000-09,64.975,
2000-10,219.798,
2000-11,91.465,
2000-12,45.845,
2001-01,245.604,
2001-02,121.788,
2001-03,127.327,
2001-04,48.159,
2001-05,122.360,
2001-06,91.263,
2001-07,118.525,
2001-08,91.220,
2001-09,82.322,
2001-10,102.009,
2001-11,45.133,
2001-12,132.422,
2002-01,36.818,
2002-02,108.795,
2002-03,85.187,
2002-04,56.344,
2002-05,71.394,
2002-06,54.071,
2002-07,83.704,
2002-08,62.557,
2002-09,103.083,
2002-10,60.231,
2002-11,94.295,
2002-12,111.818,
2003-01,96.336,
2003-02,75.909,
2003-03,61.373,
2003-04,52.588,
2003-05,83.768,
2003-06,62.501,
2003-07,91.771,
2003-08,55.611,
2003-09,82.527,
2003-10,79.141,
2003-11,77.459,
2003-12,84.867,
2004-01,75.129,
2004-02,70.129,
2004-03,77.655,
2004-04,75.553,
2004-05,71.268,
2004-06,93.013,
2004-07,53.969,
2004-08,82.634,
2004-09,87.827,
2004-10,72.903,
2004-11,77.774,
2004-12,80.324,
2005-01,59.848,
2005-02,62.925,
2005-03,90.159,
2005-04,71.171,
2005-05,59.116,
2005-06,75.663,
2005-07,86.323,
2005-08,61.098,
2005-09,76.009,
2005-10,84.001,
2005-11,73.564,
2005-12,113.907,
2006-01,82.306,
2006-02,57.711,
2006-03,65.024,
2006-04,63.349,
2006-05,70.007,
2006-06,71.752,
2006-07,80.671,
2006-08,81.549,
2006-09,82.075,
2006-10,81.586,
2006-11,90.112,
2006-12,104.157,
2007-01,248.434,
2007-02,71.160,
2007-03,90.163,
2007-04,79.621,
2007-05,101.468,
2007-06,95.201,
2007-07,107.210,
2007-08,110.843,
2007-09,79.324,
2007-10,101.005,
2007-11,106.545,
2007-12,139.419,
2008-01,201.673,
2008-02,97.907,
2008-03,104.321,
2008-04,104.876,
2008-05,111.122,
2008-06,109.373,
2008-07,127.858,
2008-08,122.315,
2008-09,110.726,
2008-10,153.686,
2008-11,125.598,
2008-12,172.352,
2009-01,143.210,
2009-02,129.236,
2009-03,163.251,
2009-04,143.844,
