"",BBDA1.M.DE.N.EX.S.GP09IS10.W1.A.V.ABA.A,BBDA1.M.DE.N.EX.S.GP09IS10.W1.A.V.ABA.A_FLAGS
"","Exports / At current prices, flows / Computer, electronic and optical products plus electrical equipment (new: items 26+27) / Rest of the World / Unadjusted figure",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:38:48,
2008-01,12242386,
2008-02,12030048,
2008-03,11647690,
2008-04,12519917,
2008-05,11105624,
2008-06,12156675,
2008-07,11895617,
2008-08,11114153,
2008-09,12388168,
2008-10,12992860,
2008-11,11531270,
2008-12,10377410,
2009-01,9393749,
2009-02,9246990,
2009-03,9967616,
2009-04,9052262,
2009-05,8388693,
2009-06,9337187,
2009-07,9963069,
2009-08,8718701,
2009-09,10498245,
2009-10,10995021,
2009-11,10971536,
2009-12,10733696,
2010-01,9521999,
2010-02,10024720,
2010-03,12359967,
2010-04,10577915,
2010-05,10779162,
2010-06,12521325,
2010-07,12109622,
2010-08,11658692,
2010-09,13057762,
2010-10,13584085,
2010-11,14056292,
2010-12,12912624,
2011-01,11708871,
2011-02,11985824,
2011-03,14099169,
2011-04,11908005,
2011-05,12865623,
2011-06,12532920,
2011-07,12313719,
2011-08,12509010,
2011-09,13373346,
2011-10,12706368,
2011-11,13789956,
2011-12,12650430,
2012-01,11889644,
2012-02,12473043,
2012-03,13686218,
2012-04,11898275,
2012-05,12816894,
2012-06,13212199,
2012-07,13048460,
2012-08,12756458,
2012-09,12584324,
2012-10,13610256,
2012-11,13514374,
2012-12,11529112,
2013-01,12260068,
2013-02,11746293,
2013-03,12956300,
2013-04,12697843,
2013-05,12417066,
2013-06,12978434,
2013-07,12925535,
2013-08,12026613,
2013-09,13125784,
2013-10,13841645,
2013-11,13258204,
2013-12,11772514,
2014-01,12791904,
2014-02,12604533,
2014-03,13392814,
2014-04,12859996,
2014-05,12601240,
2014-06,13214520,
2014-07,13874024,
2014-08,12500636,
2014-09,14600484,
2014-10,14901667,
2014-11,14065419,
2014-12,13784472,
