"",BBK01.OELI03M,BBK01.OELI03M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:40,
2002-01,5.496,
2002-04,5.468,
2002-07,5.392,
2002-10,5.522,
2003-01,5.325,
2003-04,5.141,
2003-07,5.055,
2003-10,5.277,
2004-01,4.936,
2004-04,4.812,
2004-07,4.816,
2004-10,5.096,
2005-01,4.792,
2005-04,4.744,
2005-07,4.745,
2005-10,5.232,
2006-01,5.066,
2006-04,5.013,
2006-07,5.042,
2006-10,5.506,
2007-01,5.439,
2007-04,5.616,
2007-07,5.754,
2007-10,6.219,
2008-01,6.411,
2008-04,6.691,
2008-07,6.916,
2008-10,7.609,
2009-01,7.098,
2009-04,6.344,
2009-07,5.866,
2009-10,5.587,
2010-01,5.160,
2010-04,4.786,
2010-07,4.785,
2010-10,4.820,
2011-01,4.846,
2011-04,4.926,
2011-07,4.995,
2011-10,5.336,
2012-01,5.224,
2012-04,5.125,
2012-07,5.007,
2012-10,4.699,
2013-01,4.504,
2013-04,4.405,
2013-07,4.244,
2013-10,4.101,
2014-01,4.162,
2014-04,4.010,
2014-07,3.921,
