"",BBEX3.M.MXN.EUR.BB.AC.A02,BBEX3.M.MXN.EUR.BB.AC.A02_FLAGS
"",Euro foreign exchange reference rate of the ECB / EUR 1 = MXN ... / Mexico,
unit,MXN (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:00:41,
1999-01,11.8243,
1999-02,11.2125,
1999-03,10.5952,
1999-04,10.0981,
1999-05,9.9712,
1999-06,9.8782,
1999-07,9.7122,
1999-08,9.9558,
1999-09,9.8086,
1999-10,10.2370,
1999-11,9.7324,
1999-12,9.5223,
2000-01,9.6243,
2000-02,9.2663,
2000-03,8.9600,
2000-04,8.8888,
2000-05,8.6147,
2000-06,9.3298,
2000-07,8.8647,
2000-08,8.3890,
2000-09,8.1528,
2000-10,8.1534,
2000-11,8.1424,
2000-12,8.4904,
2001-01,9.1715,
2001-02,8.9533,
2001-03,8.7355,
2001-04,8.3273,
2001-05,7.9923,
2001-06,7.7580,
2001-07,7.8806,
2001-08,8.2222,
2001-09,8.5775,
2001-10,8.4724,
2001-11,8.1912,
2001-12,8.1751,
2002-01,8.0942,
2002-02,7.9138,
2002-03,7.9417,
2002-04,8.1170,
2002-05,8.7240,
2002-06,9.3367,
2002-07,9.6998,
2002-08,9.6141,
2002-09,9.8733,
2002-10,9.9014,
2002-11,10.2059,
2002-12,10.4100,
2003-01,11.2760,
2003-02,11.7747,
2003-03,11.8037,
2003-04,11.4946,
2003-05,11.8822,
2003-06,12.2560,
2003-07,11.8934,
2003-08,12.0040,
2003-09,12.2582,
2003-10,13.0559,
2003-11,13.0339,
2003-12,13.8173,
2004-01,13.7686,
2004-02,13.9545,
2004-03,13.4980,
2004-04,13.5069,
2004-05,13.8176,
2004-06,13.8211,
2004-07,14.0696,
2004-08,13.8721,
2004-09,14.0294,
2004-10,14.2421,
2004-11,14.7711,
2004-12,15.0226,
2005-01,14.7795,
2005-02,14.4992,
2005-03,14.7222,
2005-04,14.3858,
2005-05,13.9348,
2005-06,13.1698,
2005-07,12.8672,
2005-08,13.1376,
2005-09,13.2124,
2005-10,13.0256,
2005-11,12.5827,
2005-12,12.6044,
2006-01,12.7752,
2006-02,12.5198,
2006-03,12.9188,
2006-04,13.5388,
2006-05,14.1604,
2006-06,14.4093,
2006-07,13.9392,
2006-08,13.9359,
2006-09,13.9736,
2006-10,13.7479,
2006-11,14.0612,
2006-12,14.3450,
2007-01,14.2315,
2007-02,14.3697,
2007-03,14.7187,
2007-04,14.8496,
2007-05,14.6202,
2007-06,14.5434,
2007-07,14.8200,
2007-08,15.0491,
2007-09,15.3293,
2007-10,15.4044,
2007-11,15.9776,
2007-12,15.8096,
2008-01,16.0639,
2008-02,15.8786,
2008-03,16.6678,
2008-04,16.5608,
2008-05,16.2402,
2008-06,16.0617,
2008-07,16.1119,
2008-08,15.1269,
2008-09,15.2805,
2008-10,16.8177,
2008-11,16.6735,
2008-12,18.0764,
2009-01,18.3762,
2009-02,18.6536,
2009-03,19.1278,
2009-04,17.7645,
2009-05,17.9969,
2009-06,18.6813,
2009-07,18.8143,
2009-08,18.5571,
2009-09,19.5255,
2009-10,19.5856,
2009-11,19.5478,
2009-12,18.7787,
2010-01,18.2820,
2010-02,17.7154,
2010-03,17.0587,
2010-04,16.3957,
2010-05,15.9856,
2010-06,15.5346,
2010-07,16.3699,
2010-08,16.4571,
2010-09,16.7361,
2010-10,17.2845,
2010-11,16.8386,
2010-12,16.3797,
2011-01,16.1926,
2011-02,16.4727,
2011-03,16.8063,
2011-04,16.9211,
2011-05,16.7177,
2011-06,16.9931,
2011-07,16.6491,
2011-08,17.5456,
2011-09,17.9370,
2011-10,18.4315,
2011-11,18.5646,
2011-12,18.1174,
2012-01,17.3140,
2012-02,16.9159,
2012-03,16.8239,
2012-04,17.1900,
2012-05,17.4237,
2012-06,17.4529,
2012-07,16.4263,
2012-08,16.3600,
2012-09,16.6413,
2012-10,16.7207,
2012-11,16.7689,
2012-12,16.8664,
2013-01,16.8760,
2013-02,16.9872,
2013-03,16.2322,
2013-04,15.8895,
2013-05,15.9776,
2013-06,17.0716,
2013-07,16.6893,
2013-08,17.1996,
2013-09,17.4471,
2013-10,17.7413,
2013-11,17.6340,
2013-12,17.8278,
2014-01,17.9964,
2014-02,18.1561,
2014-03,18.2447,
2014-04,18.0485,
2014-05,17.7620,
2014-06,17.6516,
2014-07,17.5834,
2014-08,17.5051,
2014-09,17.0717,
2014-10,17.0713,
2014-11,16.9850,
2014-12,17.8692,
2015-01,17.0782,
2015-02,16.9310,
"","General: Up to the end of 2007, ECB indicative rates. Since January 2008 euro foreign exchange reference rates of the ECB, which are calculated on the basis of the concertation between central banks at 14.15.",
"",Source: European Central Bank (ECB).,
"",Methodology: Averages: Bundesbank calculations based on the daily euro reference exchange rates published by the ECB.,
