"",BBK01.CEH50X,BBK01.CEH50X_FLAGS
"",Shares and other equity debtor: All sectors                      creditor: Other financial intermediaries,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:20:58,
1991-01,-0.5,
1991-04,-1.3,
1991-07,-0.4,
1991-10,5.8,
1992-01,3.8,
1992-04,-0.1,
1992-07,0.8,
1992-10,5.5,
1993-01,2.5,
1993-04,-3.4,
1993-07,1.6,
1993-10,8.9,
1994-01,8.6,
1994-04,1.3,
1994-07,-0.1,
1994-10,5.9,
1995-01,3.6,
1995-04,0.8,
1995-07,-0.9,
1995-10,6.7,
1996-01,1.8,
1996-04,-1.3,
1996-07,0.4,
1996-10,11.2,
1997-01,8.3,
1997-04,1.2,
1997-07,2.8,
1997-10,13.3,
1998-01,10.6,
1998-04,6.9,
1998-07,9.2,
1998-10,21.0,
1999-01,7.9,
1999-04,5.2,
1999-07,-2.5,
1999-10,23.0,
2000-01,3.6,
2000-04,18.6,
2000-07,14.2,
2000-10,30.1,
2001-01,13.6,
2001-04,2.3,
2001-07,-6.0,
2001-10,30.2,
2002-01,2.2,
2002-04,5.6,
2002-07,7.0,
2002-10,2.6,
2003-01,4.9,
2003-04,7.4,
2003-07,-13.2,
2003-10,11.5,
2004-01,8.6,
2004-04,-8.4,
2004-07,-5.8,
2004-10,18.3,
2005-01,-0.9,
2005-04,2.9,
2005-07,0.8,
2005-10,12.1,
2006-01,19.7,
2006-04,14.7,
2006-07,6.4,
2006-10,4.8,
2007-01,2.1,
2007-04,3.4,
2007-07,-27.1,
2007-10,25.9,
2008-01,2.2,
2008-04,3.1,
2008-07,-1.3,
2008-10,-13.6,
2009-01,18.3,
2009-04,2.9,
2009-07,12.0,
2009-10,17.3,
2010-01,6.1,
2010-04,20.1,
2010-07,4.2,
2010-10,18.6,
2011-01,7.1,
2011-04,7.2,
2011-07,-9.7,
2011-10,3.7,
2012-01,11.1,
2012-04,-0.3,
2012-07,16.5,
2012-10,12.6,
2013-01,7.5,
2013-04,1.4,
2013-07,14.8,
2013-10,12.3,
2014-01,9.9,
