"",BBFN1.M.DE.N.1.L.LU.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.LU.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
2003-06,60.062,
2003-07,60.059,
2003-08,62.138,
2003-09,62.819,
2003-10,62.320,
2003-11,62.210,
2003-12,57.414,
2004-01,57.364,
2004-02,32.355,
2004-03,32.332,
2004-04,32.474,
2004-05,31.893,
2004-06,35.872,
2004-07,35.183,
2004-08,35.361,
2004-09,37.475,
2004-10,35.950,
2004-11,35.733,
2004-12,35.088,
2005-01,37.066,
2005-02,38.343,
2005-03,38.670,
2005-04,38.351,
2005-05,38.137,
2005-06,38.572,
2005-07,38.016,
2005-08,38.677,
2005-09,38.652,
2005-10,38.825,
2005-11,39.178,
2005-12,42.065,
2006-01,41.823,
2006-02,43.412,
2006-03,42.764,
2006-04,44.422,
2006-05,44.410,
2006-06,43.851,
2006-07,44.796,
2006-08,45.144,
2006-09,45.061,
2006-10,45.907,
2006-11,45.966,
2006-12,45.694,
2007-01,46.225,
2007-02,44.953,
2007-03,45.507,
2007-04,44.963,
2007-05,45.421,
2007-06,45.776,
2007-07,30.952,
2007-08,31.116,
2007-09,33.013,
2007-10,32.960,
2007-11,33.279,
2007-12,37.052,
2008-01,38.314,
2008-02,38.690,
2008-03,42.028,
2008-04,42.778,
2008-05,42.928,
2008-06,42.718,
2008-07,44.013,
2008-08,44.472,
2008-09,43.985,
2008-10,58.904,
2008-11,58.864,
2008-12,57.494,
2009-01,59.915,
2009-02,61.269,
2009-03,61.526,
2009-04,61.573,
2009-05,63.397,
2009-06,67.029,
2009-07,67.214,
2009-08,67.445,
2009-09,67.516,
2009-10,66.529,
2009-11,66.583,
2009-12,70.293,
2010-01,68.508,
2010-02,68.483,
2010-03,71.128,
2010-04,72.616,
2010-05,75.287,
2010-06,75.069,
2010-07,78.377,
2010-08,76.982,
2010-09,76.338,
2010-10,75.207,
2010-11,74.815,
2010-12,78.595,
2011-01,78.130,
2011-02,76.970,
2011-03,76.737,
2011-04,76.365,
2011-05,76.569,
2011-06,76.349,
2011-07,79.192,
2011-08,79.943,
2011-09,80.964,
2011-10,81.325,
2011-11,82.014,
2011-12,82.655,
2012-01,83.479,
2012-02,82.268,
2012-03,80.768,
2012-04,82.032,
2012-05,82.464,
2012-06,85.170,
2012-07,86.447,
2012-08,89.201,
2012-09,86.836,
2012-10,88.983,
2012-11,90.105,
2012-12,89.510,
2013-01,89.377,
2013-02,88.458,
2013-03,90.634,
2013-04,90.538,
2013-05,88.753,
2013-06,88.919,
2013-07,90.066,
2013-08,92.230,
2013-09,93.485,
2013-10,101.782,
2013-11,98.632,
2013-12,100.615,
2014-01,101.570,
2014-02,101.211,
2014-03,101.371,
2014-04,102.046,
2014-05,103.329,
2014-06,105.197,
2014-07,106.435,
2014-08,106.272,
2014-09,105.659,
2014-10,105.717,
2014-11,107.325,
2014-12,110.042,
