"",BBK01.OEYB20V,BBK01.OEYB20V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:43:08,
2002-01,4.880,
2002-04,4.930,
2002-07,4.934,
2002-10,4.963,
2003-01,4.954,
2003-04,4.979,
2003-07,4.986,
2003-10,4.982,
2004-01,4.952,
2004-04,4.908,
2004-07,4.949,
2004-10,4.943,
2005-01,4.895,
2005-04,4.873,
2005-07,4.955,
2005-10,4.904,
2006-01,4.828,
2006-04,4.798,
2006-07,4.664,
2006-10,4.508,
2007-01,4.187,
2007-04,3.818,
2007-07,3.642,
2007-10,3.465,
2008-01,3.325,
2008-04,2.783,
2008-07,2.661,
2008-10,2.561,
2009-01,2.442,
2009-04,2.403,
2009-07,2.361,
2009-10,2.607,
2010-01,2.554,
2010-04,2.283,
2010-07,2.230,
2010-10,2.135,
2011-01,2.082,
2011-04,2.027,
2011-07,2.041,
2011-10,2.004,
2012-01,1.955,
2012-04,1.939,
2012-07,1.879,
2012-10,1.834,
2013-01,1.801,
2013-04,1.768,
2013-07,1.750,
2013-10,1.734,
2014-01,1.666,
2014-04,1.622,
2014-07,1.588,
