"",BBK01.TVE311,BBK01.TVE311_FLAGS
"",Lending to enterprises and households / Total / Euro area,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-26 15:18:38,
1997-10,39708,
1997-11,31383,
1997-12,74999,
1998-01,36658,
1998-02,38421,
1998-03,49194,
1998-04,44861,
1998-05,20879,
1998-06,47159,
1998-07,41838,
1998-08,-880,
1998-09,52156,
1998-10,38890,
1998-11,56706,
1998-12,74331,
1999-01,85137,
1999-02,-1677,
1999-03,61962,
1999-04,40370,
1999-05,53562,
1999-06,93406,
1999-07,39572,
1999-08,633,
1999-09,25466,
1999-10,44950,
1999-11,78172,
1999-12,51632,
2000-01,43399,
2000-02,57160,
2000-03,98505,
2000-04,70027,
2000-05,51699,
2000-06,31304,
2000-07,32273,
2000-08,18915,
2000-09,76050,
2000-10,44255,
2000-11,44019,
2000-12,63299,
2001-01,48750,
2001-02,39314,
2001-03,83079,
2001-04,65145,
2001-05,14686,
2001-06,29046,
2001-07,20484,
2001-08,-10865,
2001-09,46382,
2001-10,36294,
2001-11,48076,
2001-12,46082,
2002-01,17459,
2002-02,24684,
2002-03,48686,
2002-04,45310,
2002-05,33065,
2002-06,33813,
2002-07,-15381,
2002-08,6621,
2002-09,41938,
2002-10,32019,
2002-11,21984,
2002-12,57699,
2003-01,30542,
2003-02,35561,
2003-03,37469,
2003-04,70270,
2003-05,43127,
2003-06,24605,
2003-07,15250,
2003-08,10063,
2003-09,32581,
2003-10,32639,
2003-11,67624,
2003-12,44372,
2004-01,28856,
2004-02,32271,
2004-03,47828,
2004-04,85894,
2004-05,47537,
2004-06,46310,
2004-07,24648,
2004-08,-13566,
2004-09,57763,
2004-10,57510,
2004-11,86414,
2004-12,70079,
2005-01,55413,
2005-02,36720,
2005-03,54576,
2005-04,120688,
2005-05,62661,
2005-06,74027,
2005-07,54385,
2005-08,2852,
2005-09,99065,
2005-10,91251,
2005-11,104382,
2005-12,77233,
2006-01,104276,
2006-02,109262,
2006-03,129564,
2006-04,162928,
2006-05,73582,
2006-06,50941,
2006-07,89740,
2006-08,12958,
2006-09,135645,
2006-10,85982,
2006-11,104033,
2006-12,45412,
2007-01,98662,
2007-02,69281,
2007-03,154926,
2007-04,167858,
2007-05,94210,
2007-06,117598,
2007-07,114233,
2007-08,33846,
2007-09,139335,
2007-10,168139,
2007-11,109947,
2007-12,138004,
2008-01,110249,
2008-02,70448,
2008-03,148789,
2008-04,170017,
2008-05,94000,
2008-06,52931,
2008-07,98580,
2008-08,30335,
2008-09,67337,
2008-10,23768,
2008-11,78370,
2008-12,-7274,
2009-01,32864,
2009-02,-8890,
2009-03,15323,
2009-04,42595,
2009-05,22089,
2009-06,38635,
2009-07,-40018,
2009-08,-61933,
2009-09,51037,
2009-10,-39565,
2009-11,45116,
2009-12,-2822,
2010-01,-31584,
2010-02,-7072,
2010-03,5623,
2010-04,68930,
2010-05,-17090,
2010-06,35244,
2010-07,45846,
2010-08,5147,
2010-09,45085,
2010-10,-37272,
2010-11,143175,
2010-12,-44285,
2011-01,24047,
2011-02,29539,
2011-03,-12619,
2011-04,78752,
2011-05,19319,
2011-06,-13037,
2011-07,2100,
2011-08,-9245,
2011-09,25959,
2011-10,36949,
2011-11,-12579,
2011-12,-109996,
2012-01,59371,
2012-02,-18361,
2012-03,2860,
2012-04,8653,
2012-05,-9029,
2012-06,-32741,
2012-07,-16610,
2012-08,-61323,
2012-09,37159,
2012-10,-20480,
2012-11,-3216,
2012-12,-9376,
2013-01,24769,
2013-02,-4169,
2013-03,18017,
2013-04,13301,
2013-05,-19284,
2013-06,-35761,
2013-07,-83542,
2013-08,-35895,
2013-09,19324,
2013-10,-61367,
2013-11,7556,
2013-12,-107014,
2014-01,-18899,
2014-02,-9210,
2014-03,6145,
2014-04,-6224,
2014-05,-36400,
2014-06,23559,
2014-07,-15685,
2014-08,-50952,
2014-09,26210,
2014-10,-24044,
2014-11,25630,
2014-12,9156,
2015-01,22017,
