"",BBFB1.Q.N.DE.1A.S1.S1.T.A.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.1A.S1.S1.T.A.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Portfolio investment / Net / International organisations,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:48:56,
1991-01,-255.994,
1991-04,-109.103,
1991-07,-173.972,
1991-10,-310.331,
1992-01,-275.558,
1992-04,-241.615,
1992-07,-562.105,
1992-10,-158.727,
1993-01,471.119,
1993-04,278.705,
1993-07,173.000,
1993-10,174.035,
1994-01,-23.511,
1994-04,76.475,
1994-07,-89.536,
1994-10,340.633,
1995-01,-40.871,
1995-04,311.182,
1995-07,24.274,
1995-10,-183.838,
1996-01,-119.298,
1996-04,277.342,
1996-07,-297.722,
1996-10,354.671,
1997-01,-323.096,
1997-04,151.156,
1997-07,196.529,
1997-10,244.236,
1998-01,503.943,
1998-04,367.250,
1998-07,133.639,
1998-10,469.571,
1999-01,511.258,
1999-04,103.185,
1999-07,-341.338,
1999-10,-385.447,
2000-01,-222.485,
2000-04,-1161.530,
2000-07,-261.795,
2000-10,-393.445,
2001-01,-110.713,
2001-04,-427.467,
2001-07,-399.194,
2001-10,-167.832,
2002-01,-641.825,
2002-04,308.961,
2002-07,-364.172,
2002-10,-220.698,
2003-01,-100.006,
2003-04,168.902,
2003-07,130.109,
2003-10,-496.645,
2004-01,-34.596,
2004-04,-405.412,
2004-07,-136.051,
2004-10,114.788,
2005-01,37.288,
2005-04,-199.350,
2005-07,-57.893,
2005-10,-9.495,
2006-01,144.555,
2006-04,553.349,
2006-07,117.037,
2006-10,64.807,
2007-01,-5.338,
2007-04,186.806,
2007-07,171.965,
2007-10,-405.468,
2008-01,178.210,
2008-04,33.536,
2008-07,-32.253,
2008-10,-127.670,
2009-01,-291.155,
2009-04,956.558,
2009-07,-113.919,
2009-10,11.281,
2010-01,-80.826,
2010-04,35.764,
2010-07,197.980,
2010-10,117.643,
2011-01,16.650,
2011-04,-129.544,
2011-07,160.975,
2011-10,-276.261,
2012-01,-11.992,
2012-04,-1.144,
2012-07,241.613,
2012-10,-110.532,
2013-01,-215.638,
2013-04,259.882,
2013-07,996.379,
2013-10,-295.507,
2014-01,158.708,Provisional value
2014-04,141.168,Provisional value
2014-07,222.077,Provisional value
2014-10,3.480,Provisional value
