"",BBEX3.A.FJD.USD.CM.AB.A04,BBEX3.A.FJD.USD.CM.AB.A04_FLAGS
"",Exchange rates for the US dollar in Fiji / FJD 1 = USD ... (selling),
unit,USD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-19 15:13:59,
1990,0.6669,
1991,0.6681,
1992,0.6549,
1993,0.6407,
1994,0.6768,
1995,0.7031,
1996,0.7054,
1997,0.6813,
1998,0.4941,comment
1999,0.4978,
2000,0.4597,
2001,0.4283,
2002,0.4504,
2003,0.5231,
2004,0.5692,
2005,0.5813,
2006,0.5700,
2007,0.6146,
2008,0.6231,
2009,0.5016,comment
2010,0.5128,
2011,0.5532,
2012,0.5506,
2013,0.5324,
2014,0.5202,
"","Source: Since May 2013: Bank South Pacific, Suva2006 - April 2013: Australia and New Zealand Banking Group (ANZ), Suva1990 - 2005: Westpac Banking Corporation, Suva",
"",Methodology: Calculated on the basis of month-end rates.,
"","Comment on 1998: On 20 January 1998, the Fiji dollar was devalued. We recorded the following exchange rates (buying/selling).  19 January 1998: FJD 1 = USD 0.6583 / 0.6413  20 January 1998: FJD 1 = USD 0.5291 / 0.5121  Calculated devaluation: 19.9% (middle rate).",
"","Comment on 2009: On 15 April 2009, the Fiji dollar was devalued. We recorded the following exchange rates (buying/selling).  14 April 2009: FJD 1 = USD 0.5817 / 0.5647  15 April 2009: FJD 1 = USD 0.4643 / 0.4473  Calculated devaluation: 20.5% (middle rate).",
