"",BBK01.OEAJ05K,BBK01.OEAJ05K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:59:25,
2002-01,26.541,
2002-04,26.787,
2002-07,27.774,
2002-10,28.088,
2003-01,28.826,
2003-04,29.301,
2003-07,29.585,
2003-10,29.452,
2004-01,29.938,
2004-04,31.269,
2004-07,30.665,
2004-10,22.918,
2005-01,22.985,
2005-04,23.218,
2005-07,24.008,
2005-10,24.730,
2006-01,25.331,
2006-04,27.073,
2006-07,34.600,
2006-10,32.710,
2007-01,33.017,
2007-04,33.889,
2007-07,34.459,
2007-10,34.360,
2008-01,34.244,
2008-04,34.045,
2008-07,33.973,
2008-10,34.264,
2009-01,32.542,
2009-04,32.586,
2009-07,32.290,
2009-10,31.477,
2010-01,31.320,
2010-04,31.266,
2010-07,31.160,
2010-10,30.710,
2011-01,30.139,
2011-04,29.393,
2011-07,22.591,
2011-10,22.541,
2012-01,21.590,
2012-04,21.771,
2012-07,21.518,
2012-10,21.151,
2013-01,21.041,
2013-04,20.785,
2013-07,20.442,
2013-10,19.939,
2014-01,19.135,
2014-04,19.448,
2014-07,17.947,
