"",BBFI1.Q.N.DE.W1.S12T.S1.LE.A.FA.P.F51._Z._T.M.N,BBFI1.Q.N.DE.W1.S12T.S1.LE.A.FA.P.F51._Z._T.M.N_FLAGS
"",IIP - Portfolio investment - Equity - Assets - Positions - resident holder: Monetary financial institutions other than central bank - all countries,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:05:30,
1999-10,12125,
2000-01,.,No value available
2000-04,.,No value available
2000-07,.,No value available
2000-10,20436,
2001-01,.,No value available
2001-04,.,No value available
2001-07,.,No value available
2001-10,23303,
2002-01,.,No value available
2002-04,.,No value available
2002-07,.,No value available
2002-10,12923,
2003-01,.,No value available
2003-04,.,No value available
2003-07,.,No value available
2003-10,14351,
2004-01,14027,
2004-04,14889,
2004-07,10834,
2004-10,12286,
2005-01,11792,
2005-04,14692,
2005-07,16158,
2005-10,21996,
2006-01,20279,
2006-04,16358,
2006-07,18763,
2006-10,22276,
2007-01,14902,
2007-04,25422,
2007-07,25407,
2007-10,26804,
2008-01,15115,
2008-04,7320,
2008-07,7052,
2008-10,3459,
2009-01,3044,
2009-04,4857,
2009-07,4558,
2009-10,6980,
2010-01,498,
2010-04,2778,
2010-07,-1130,
2010-10,-132,
2011-01,-2035,
2011-04,3612,
2011-07,-692,
2011-10,3571,
2012-01,-1235,
2012-04,41,
2012-07,3355,
2012-10,12741,
2013-01,16954,
2013-04,19179,
2013-07,23454,
2013-10,22791,
2014-01,25655,
2014-04,27851,
2014-07,28909,
