"",BBK01.OEAK04M,BBK01.OEAK04M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:07:25,
2002-01,2.446,
2002-04,2.377,
2002-07,2.335,
2002-10,2.363,
2003-01,2.278,
2003-04,2.112,
2003-07,2.033,
2003-10,1.889,
2004-01,1.964,
2004-04,1.815,
2004-07,1.747,
2004-10,1.775,
2005-01,1.793,
2005-04,1.717,
2005-07,1.687,
2005-10,1.777,
2006-01,1.957,
2006-04,1.898,
2006-07,2.064,
2006-10,2.204,
2007-01,2.290,
2007-04,2.361,
2007-07,2.560,
2007-10,2.964,
2008-01,3.153,
2008-04,3.199,
2008-07,3.454,
2008-10,3.691,
2009-01,2.729,
2009-04,2.291,
2009-07,1.921,
2009-10,1.547,
2010-01,1.343,
2010-04,1.150,
2010-07,1.101,
2010-10,1.200,
2011-01,1.146,
2011-04,1.208,
2011-07,1.314,
2011-10,1.295,
2012-01,1.295,
2012-04,1.183,
2012-07,1.114,
2012-10,0.861,
2013-01,0.778,
2013-04,0.720,
2013-07,0.690,
2013-10,0.679,
2014-01,0.588,
2014-04,0.580,
2014-07,0.581,
