"",BBFN1.M.DE.N.1.L.W03100.S1P.F0.S.NV00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.W03100.S1P.F0.S.NV00.Z01.BGA.X001.D_FLAGS
"",Short-term liabilities of enterprises vis-à-vis foreign affiliated enterprises arising from financial operations / Total / Emerging economies and developing countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:08:06,
1995-01,1.792,
1995-02,1.737,
1995-03,1.903,
1995-04,1.958,
1995-05,1.971,
1995-06,1.937,
1995-07,1.920,
1995-08,2.032,
1995-09,1.839,
1995-10,1.899,
1995-11,1.754,
1995-12,2.417,
1996-01,1.958,
1996-02,1.872,
1996-03,1.874,
1996-04,2.027,
1996-05,2.039,
1996-06,2.197,
1996-07,2.129,
1996-08,2.096,
1996-09,2.346,
1996-10,2.270,
1996-11,2.314,
1996-12,3.095,
1997-01,2.978,
1997-02,3.021,
1997-03,2.813,
1997-04,2.734,
1997-05,2.848,
1997-06,3.251,
1997-07,2.873,
1997-08,3.069,
1997-09,3.127,
1997-10,2.992,
1997-11,2.894,
1997-12,3.227,
1998-01,3.208,
1998-02,3.374,
1998-03,3.409,
1998-04,3.424,
1998-05,3.422,
1998-06,5.128,
1998-07,4.962,
1998-08,5.084,
1998-09,4.940,
1998-10,4.825,
1998-11,4.690,
1998-12,5.284,
1999-01,5.353,
1999-02,5.382,
1999-03,5.233,
1999-04,5.103,
1999-05,5.279,
1999-06,5.195,
1999-07,4.947,
1999-08,5.056,
1999-09,4.965,
1999-10,8.980,
1999-11,4.387,
1999-12,4.412,
2000-01,4.526,
2000-02,4.501,
2000-03,4.587,
2000-04,4.513,
2000-05,4.677,
2000-06,5.266,
2000-07,5.996,
2000-08,6.430,
2000-09,6.995,
2000-10,7.174,
2000-11,7.027,
2000-12,7.087,
2001-01,6.444,
2001-02,6.877,
2001-03,7.110,
2001-04,6.846,
2001-05,7.248,
2001-06,9.249,
2001-07,9.282,
2001-08,9.190,
2001-09,9.534,
2001-10,10.006,
2001-11,6.378,
2001-12,6.293,
2002-01,5.888,
2002-02,5.806,
2002-03,5.866,
2002-04,5.964,
2002-05,5.856,
2002-06,6.249,
2002-07,6.216,
2002-08,6.138,
2002-09,6.500,
2002-10,5.654,
2002-11,5.985,
2002-12,6.714,
2003-01,7.749,
2003-02,7.282,
2003-03,8.026,
2003-04,7.406,
2003-05,7.174,
2003-06,7.278,
2003-07,6.663,
2003-08,6.531,
2003-09,6.331,
2003-10,6.255,
2003-11,6.899,
2003-12,6.785,
2004-01,6.564,
2004-02,7.415,
2004-03,7.599,
2004-04,7.716,
2004-05,4.726,
2004-06,4.934,
2004-07,4.971,
2004-08,4.322,
2004-09,4.372,
2004-10,4.466,
2004-11,4.404,
2004-12,4.604,
2005-01,5.031,
2005-02,4.744,
2005-03,4.605,
2005-04,4.677,
2005-05,4.803,
2005-06,4.808,
2005-07,4.733,
2005-08,4.986,
2005-09,4.860,
2005-10,4.645,
2005-11,4.800,
2005-12,4.342,
2006-01,4.188,
2006-02,4.228,
2006-03,4.423,
2006-04,4.305,
2006-05,4.388,
2006-06,4.794,
2006-07,4.506,
2006-08,4.679,
2006-09,5.562,
2006-10,5.501,
2006-11,5.417,
2006-12,6.296,
2007-01,6.303,
2007-02,6.808,
2007-03,7.611,
2007-04,8.290,
2007-05,8.411,
2007-06,8.450,
2007-07,8.704,
2007-08,9.154,
2007-09,9.021,
2007-10,9.124,
2007-11,9.454,
2007-12,8.775,
2008-01,6.391,
2008-02,6.364,
2008-03,6.503,
2008-04,6.785,
2008-05,6.966,
2008-06,6.897,
2008-07,6.735,
2008-08,7.030,
2008-09,7.427,
2008-10,8.148,
2008-11,8.245,
2008-12,8.449,
2009-01,8.232,
2009-02,7.788,
2009-03,8.463,
2009-04,8.670,
2009-05,8.619,
2009-06,8.573,
2009-07,8.439,
2009-08,8.512,
2009-09,9.076,
2009-10,8.956,
2009-11,9.127,
2009-12,13.014,
2010-01,8.319,
2010-02,8.424,
2010-03,8.482,
2010-04,8.302,
2010-05,8.097,
2010-06,8.251,
2010-07,8.247,
2010-08,8.554,
2010-09,8.661,
2010-10,8.866,
2010-11,9.373,
2010-12,9.484,
2011-01,9.638,
2011-02,9.781,
2011-03,10.237,
2011-04,10.071,
2011-05,9.399,
2011-06,9.397,
2011-07,9.535,
2011-08,9.446,
2011-09,9.645,
2011-10,10.343,
2011-11,10.961,
2011-12,11.087,
2012-01,10.861,
2012-02,10.685,
2012-03,10.589,
2012-04,10.745,
2012-05,10.807,
2012-06,11.055,
2012-07,11.437,
2012-08,11.683,
2012-09,12.205,
2012-10,11.955,
2012-11,12.172,
2012-12,11.810,
2013-01,12.013,
2013-02,12.223,
2013-03,12.439,
2013-04,11.963,
2013-05,11.641,
2013-06,11.201,
2013-07,11.056,
2013-08,11.973,
2013-09,12.101,
2013-10,11.825,
2013-11,11.176,
2013-12,13.070,
2014-01,13.157,
2014-02,12.657,
2014-03,12.527,
2014-04,11.064,
2014-05,11.180,
2014-06,10.951,
2014-07,11.087,
2014-08,11.323,
2014-09,11.844,
2014-10,11.994,
2014-11,11.985,
2014-12,12.985,
"","General: All countries that are not regarded as industrial countries. Up to December 2010 including Niederl. Antillen; from January 2011 including Bonaire,St.Eustatius, Saba; Curacao; St.Martin (Dutch part)",
