"",BBK01.OECO01L,BBK01.OECO01L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:48,
2002-01,1.084,
2002-04,-4.991,
2002-07,1.014,
2002-10,2.027,
2003-01,1.246,
2003-04,0.597,
2003-07,2.727,
2003-10,1.328,
2004-01,0.877,
2004-04,1.253,
2004-07,4.324,
2004-10,2.004,
2005-01,4.769,
2005-04,4.751,
2005-07,4.176,
2005-10,3.321,
2006-01,4.216,
2006-04,4.494,
2006-07,4.265,
2006-10,4.438,
2007-01,4.403,
2007-04,4.646,
2007-07,4.392,
2007-10,4.491,
2008-01,4.333,
2008-04,4.283,
2008-07,4.204,
2008-10,6.024,
2009-01,4.366,
2009-04,4.304,
2009-07,5.086,
2009-10,6.209,
2010-01,6.991,
2010-04,8.151,
2010-07,6.311,
2010-10,6.356,
2011-01,6.153,
2011-04,6.382,
2011-07,5.354,
2011-10,5.322,
2012-01,5.294,
2012-04,5.890,
2012-07,5.778,
2012-10,5.728,
2013-01,5.776,
2013-04,5.529,
2013-07,5.428,
2013-10,5.270,
2014-01,5.223,
2014-04,5.130,
2014-07,5.032,
