"",BBK01.OEAC03L,BBK01.OEAC03L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:49:44,
2002-01,5.303,
2002-04,5.354,
2002-07,4.444,
2002-10,3.807,
2003-01,4.269,
2003-04,3.889,
2003-07,3.438,
2003-10,3.444,
2004-01,3.425,
2004-04,3.829,
2004-07,3.716,
2004-10,3.465,
2005-01,3.486,
2005-04,3.384,
2005-07,3.442,
2005-10,3.523,
2006-01,3.625,
2006-04,3.657,
2006-07,3.766,
2006-10,3.770,
2007-01,3.796,
2007-04,3.589,
2007-07,3.647,
2007-10,3.962,
2008-01,4.069,
2008-04,4.273,
2008-07,4.758,
2008-10,7.781,
2009-01,8.122,
2009-04,8.134,
2009-07,6.204,
2009-10,6.124,
2010-01,6.450,
2010-04,6.524,
2010-07,6.461,
2010-10,6.611,
2011-01,7.048,
2011-04,6.925,
2011-07,7.074,
2011-10,7.303,
2012-01,7.764,
2012-04,7.878,
2012-07,7.843,
2012-10,8.126,
2013-01,8.537,
2013-04,8.048,
2013-07,8.680,
2013-10,9.254,
2014-01,9.288,
2014-04,9.341,
2014-07,9.305,
