"",BBFN1.M.DE.N.1.L.BR.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.BR.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / Brazil,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:22:31,
1982-09,0.034,
1982-10,0.047,
1982-11,0.041,
1982-12,0.038,
1983-01,0.038,
1983-02,0.036,
1983-03,0.034,
1983-04,0.032,
1983-05,0.042,
1983-06,0.049,
1983-07,0.060,
1983-08,0.047,
1983-09,0.047,
1983-10,0.047,
1983-11,0.044,
1983-12,0.048,
1984-01,0.051,
1984-02,0.037,
1984-03,0.054,
1984-04,0.049,
1984-05,0.051,
1984-06,0.048,
1984-07,0.052,
1984-08,0.049,
1984-09,0.049,
1984-10,0.047,
1984-11,0.046,
1984-12,0.048,
1985-01,0.050,
1985-02,0.051,
1985-03,0.046,
1985-04,0.042,
1985-05,0.041,
1985-06,0.038,
1985-07,0.033,
1985-08,0.032,
1985-09,0.035,
1985-10,0.035,
1985-11,0.036,
1985-12,0.039,
1986-01,0.048,
1986-02,0.045,
1986-03,0.047,
1986-04,0.036,
1986-05,0.037,
1986-06,0.031,
1986-07,0.030,
1986-08,0.036,
1986-09,0.033,
1986-10,0.033,
1986-11,0.031,
1986-12,0.030,
1987-01,0.029,
1987-02,0.030,
1987-03,0.035,
1987-04,0.034,
1987-05,0.039,
1987-06,0.038,
1987-07,0.038,
1987-08,0.041,
1987-09,0.040,
1987-10,0.040,
1987-11,0.041,
1987-12,0.039,
1988-01,0.044,
1988-02,0.044,
1988-03,0.036,
1988-04,0.036,
1988-05,0.035,
1988-06,0.039,
1988-07,0.038,
1988-08,0.039,
1988-09,0.036,
1988-10,0.035,
1988-11,0.038,
1988-12,0.040,
1989-01,0.037,
1989-02,0.040,
1989-03,0.043,
1989-04,0.042,
1989-05,0.036,
1989-06,0.035,
1989-07,0.035,
1989-08,0.035,
1989-09,0.033,
1989-10,0.034,
1989-11,0.032,
1989-12,0.029,
1990-01,0.030,
1990-02,0.030,
1990-03,0.030,
1990-04,0.029,
1990-05,0.028,
1990-06,0.028,
1990-07,0.029,
1990-08,0.029,
1990-09,0.024,
1990-10,0.025,
1990-11,0.025,
1990-12,0.023,
