"",BBK01.OEAI04P,BBK01.OEAI04P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:51:26,
2002-01,2.660,
2002-04,2.511,
2002-07,2.432,
2002-10,2.624,
2003-01,2.615,
2003-04,2.661,
2003-07,2.672,
2003-10,2.976,
2004-01,2.577,
2004-04,2.374,
2004-07,2.267,
2004-10,2.536,
2005-01,2.507,
2005-04,2.290,
2005-07,2.194,
2005-10,2.430,
2006-01,2.359,
2006-04,2.338,
2006-07,2.572,
2006-10,2.929,
2007-01,3.003,
2007-04,3.419,
2007-07,3.744,
2007-10,4.194,
2008-01,4.432,
2008-04,4.470,
2008-07,4.896,
2008-10,4.851,
2009-01,4.477,
2009-04,4.350,
2009-07,4.205,
2009-10,3.738,
2010-01,3.602,
2010-04,3.176,
2010-07,3.550,
2010-10,4.027,
2011-01,4.020,
2011-04,4.429,
2011-07,4.846,
2011-10,5.262,
2012-01,5.271,
2012-04,5.156,
2012-07,5.072,
2012-10,4.344,
2013-01,4.786,
2013-04,3.937,
2013-07,3.250,
2013-10,2.666,
2014-01,2.588,
2014-04,2.530,
2014-07,2.402,
