"",BBK01.OEAF09Q,BBK01.OEAF09Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:09:24,
2002-01,0.126,
2002-04,0.129,
2002-07,0.124,
2002-10,0.129,
2003-01,0.129,
2003-04,0.141,
2003-07,0.148,
2003-10,0.152,
2004-01,0.146,
2004-04,0.137,
2004-07,0.144,
2004-10,0.125,
2005-01,0.138,
2005-04,0.137,
2005-07,0.151,
2005-10,0.141,
2006-01,0.139,
2006-04,0.141,
2006-07,0.127,
2006-10,0.108,
2007-01,0.109,
2007-04,0.108,
2007-07,0.103,
2007-10,0.103,
2008-01,0.101,
2008-04,0.104,
2008-07,0.100,
2008-10,0.098,
2009-01,0.098,
2009-04,0.094,
2009-07,0.094,
2009-10,0.093,
2010-01,0.102,
2010-04,0.101,
2010-07,0.116,
2010-10,0.121,
2011-01,0.115,
2011-04,0.112,
2011-07,0.111,
2011-10,0.113,
2012-01,0.109,
2012-04,0.110,
2012-07,0.108,
2012-10,0.105,
2013-01,0.104,
2013-04,0.102,
2013-07,0.104,
2013-10,0.107,
2014-01,0.108,
2014-04,0.108,
2014-07,0.111,
