"",BBFB1.M.N.DE.W1.S1.S1.T.LD.FA.P.F52._Z._T.M.N,BBFB1.M.N.DE.W1.S1.S1.T.LD.FA.P.F52._Z._T.M.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Portfolio investment / Investmentfondsanteile / Sales / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:51:05,
1991-01,136.001,
1991-02,142.234,
1991-03,64.552,
1991-04,58.459,
1991-05,68.783,
1991-06,83.339,
1991-07,72.658,
1991-08,83.815,
1991-09,71.266,
1991-10,109.389,
1991-11,81.729,
1991-12,91.010,
1992-01,109.972,
1992-02,150.007,
1992-03,82.585,
1992-04,105.447,
1992-05,88.475,
1992-06,105.235,
1992-07,148.379,
1992-08,107.387,
1992-09,142.335,
1992-10,201.522,
1992-11,188.784,
1992-12,192.722,
1993-01,276.004,
1993-02,266.964,
1993-03,180.138,
1993-04,132.798,
1993-05,128.810,
1993-06,184.029,
1993-07,199.365,
1993-08,212.187,
1993-09,154.931,
1993-10,223.576,
1993-11,296.433,
1993-12,491.234,
1994-01,644.418,
1994-02,444.983,
1994-03,450.527,
1994-04,347.886,
1994-05,383.434,
1994-06,547.977,
1994-07,299.006,
1994-08,281.720,
1994-09,393.463,
1994-10,464.990,
1994-11,382.326,
1994-12,455.322,
1995-01,635.631,
1995-02,653.772,
1995-03,845.839,
1995-04,563.306,
1995-05,706.487,
1995-06,1262.511,
1995-07,728.839,
1995-08,597.399,
1995-09,992.559,
1995-10,1215.199,
1995-11,716.774,
1995-12,1154.178,
1996-01,1171.436,
1996-02,1433.055,
1996-03,991.930,
1996-04,690.888,
1996-05,797.302,
1996-06,1091.679,
1996-07,922.405,
1996-08,509.915,
1996-09,1096.902,
1996-10,1064.957,
1996-11,1700.200,
1996-12,1668.279,
1997-01,1334.488,
1997-02,947.022,
1997-03,1074.589,
1997-04,911.195,
1997-05,683.290,
1997-06,763.820,
1997-07,1184.123,
1997-08,964.708,
1997-09,2247.790,
1997-10,2602.907,
1997-11,985.657,
1997-12,1502.002,
1998-01,1228.532,
1998-02,1011.465,
1998-03,2019.710,
1998-04,1485.805,
1998-05,898.220,
1998-06,1625.348,
1998-07,1114.486,
1998-08,1300.318,
1998-09,1963.543,
1998-10,873.336,
1998-11,3052.201,
1998-12,2356.125,
1999-01,1622.260,
1999-02,1690.583,
1999-03,2193.480,
1999-04,1563.902,
1999-05,1312.819,
1999-06,3139.926,
1999-07,1821.988,
1999-08,2224.597,
1999-09,1639.377,
1999-10,1303.040,
1999-11,2013.137,
1999-12,2537.999,
2000-01,3351.972,
2000-02,3329.380,
2000-03,4264.580,
2000-04,3414.128,
2000-05,2825.804,
2000-06,1971.982,
2000-07,2184.580,
2000-08,2703.513,
2000-09,3586.482,
2000-10,3229.813,
2000-11,3670.512,
2000-12,3107.572,
2001-01,4350.132,
2001-02,5046.262,
2001-03,3583.245,
2001-04,3686.852,
2001-05,4381.368,
2001-06,2228.618,
2001-07,2624.644,
2001-08,3324.419,
2001-09,2740.752,
2001-10,3229.198,
2001-11,3187.421,
2001-12,3381.464,
2002-01,6910.842,
2002-02,4987.604,
2002-03,6474.642,
2002-04,6304.072,
2002-05,5753.478,
2002-06,7657.859,
2002-07,7110.078,
2002-08,6266.735,
2002-09,7012.849,
2002-10,8734.578,
2002-11,8929.496,
2002-12,8605.624,
2003-01,8751.517,
2003-02,6783.035,
2003-03,8551.406,
2003-04,6920.788,
2003-05,6711.836,
2003-06,6598.057,
2003-07,7863.164,
2003-08,7006.846,
2003-09,8167.106,
2003-10,6702.056,
2003-11,6047.223,
2003-12,6249.629,
2004-01,6626.115,
2004-02,4845.297,
2004-03,7035.899,
2004-04,5367.034,
2004-05,5609.131,
2004-06,4925.539,
2004-07,4470.118,
2004-08,4111.739,
2004-09,3980.575,
2004-10,5208.343,
2004-11,4662.526,
2004-12,5547.794,
2005-01,6482.080,
2005-02,5671.103,
2005-03,4063.238,
2005-04,6496.077,
2005-05,4213.499,
2005-06,8179.754,
2005-07,5430.461,
2005-08,6067.877,
2005-09,7692.555,
2005-10,9189.704,
2005-11,7385.103,
2005-12,7150.545,
2006-01,9700.237,
2006-02,8154.377,
2006-03,8346.159,
2006-04,6614.733,
2006-05,11935.333,
2006-06,8114.271,
2006-07,6454.984,
2006-08,6234.526,
2006-09,5931.936,
2006-10,6367.175,
2006-11,5377.922,
2006-12,6974.430,
2007-01,10008.702,
2007-02,8204.924,
2007-03,12317.534,
2007-04,7741.458,
2007-05,10900.731,
2007-06,10162.543,
2007-07,14119.166,
2007-08,15863.865,
2007-09,9087.597,
2007-10,11192.241,
2007-11,11037.093,
2007-12,10348.601,
2008-01,17320.451,
2008-02,9613.640,
2008-03,8613.741,
2008-04,12732.777,
2008-05,11147.461,
2008-06,10490.931,
2008-07,9097.218,
2008-08,8054.759,
2008-09,10391.904,
2008-10,19307.433,
2008-11,5959.886,
2008-12,7006.093,
2009-01,5246.794,
2009-02,4323.740,
2009-03,6052.410,
2009-04,7091.507,
2009-05,6791.242,
2009-06,8507.533,
2009-07,10502.821,
2009-08,5091.214,
2009-09,10878.091,
2009-10,7011.064,
2009-11,6785.207,
2009-12,7314.184,
2010-01,6953.255,
2010-02,6132.452,
2010-03,6623.401,
2010-04,14237.746,
2010-05,23941.574,
2010-06,9112.984,
2010-07,7658.384,
2010-08,7936.979,
2010-09,4974.106,
2010-10,6211.921,
2010-11,7804.216,
2010-12,8543.813,
2011-01,7980.852,
2011-02,7527.359,
2011-03,11217.989,
2011-04,10339.663,
2011-05,11415.610,
2011-06,7663.572,
2011-07,13838.662,
2011-08,15180.569,
2011-09,9499.325,
2011-10,8170.904,
2011-11,9805.645,
2011-12,8342.975,
2012-01,8530.447,
2012-02,7178.753,
2012-03,7630.976,
2012-04,13665.801,
2012-05,8932.826,
2012-06,7680.476,
2012-07,6574.621,
2012-08,6935.958,
2012-09,6384.913,
2012-10,5148.759,
2012-11,5886.684,
2012-12,6157.405,
2013-01,8300.741,
2013-02,6874.804,
2013-03,5978.998,
2013-04,7650.216,
2013-05,7827.398,
2013-06,9513.476,
2013-07,6865.427,
2013-08,5385.211,
2013-09,5965.075,
2013-10,7446.188,
2013-11,8573.910,
2013-12,7816.585,
2014-01,7968.773,
2014-02,9935.034,Provisional value
2014-03,8430.609,Provisional value
2014-04,10239.724,Provisional value
2014-05,7880.869,Provisional value
2014-06,6763.452,Provisional value
2014-07,7183.529,Provisional value
2014-08,7606.365,Provisional value
2014-09,12577.988,
2014-10,16059.523,
2014-11,12229.690,
2014-12,14422.145,Provisional value
