"",BBK01.OEBJ01K,BBK01.OEBJ01K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:00:04,
2002-01,9.580,
2002-04,9.849,
2002-07,10.977,
2002-10,12.216,
2003-01,11.131,
2003-04,10.547,
2003-07,11.300,
2003-10,12.179,
2004-01,11.219,
2004-04,11.517,
2004-07,12.124,
2004-10,12.351,
2005-01,11.054,
2005-04,11.092,
2005-07,11.652,
2005-10,11.834,
2006-01,12.615,
2006-04,13.128,
2006-07,12.442,
2006-10,13.372,
2007-01,14.676,
2007-04,14.764,
2007-07,15.029,
2007-10,15.921,
2008-01,15.691,
2008-04,15.324,
2008-07,16.156,
2008-10,16.033,
2009-01,16.400,
2009-04,16.092,
2009-07,15.527,
2009-10,16.084,
2010-01,16.270,
2010-04,16.855,
2010-07,17.087,
2010-10,18.714,
2011-01,17.596,
2011-04,18.203,
2011-07,18.458,
2011-10,19.001,
2012-01,18.876,
2012-04,19.365,
2012-07,19.756,
2012-10,21.322,
2013-01,20.850,
2013-04,19.741,
2013-07,19.749,
2013-10,20.825,
2014-01,21.018,
2014-04,20.279,
2014-07,21.595,
