"",BBEX3.M.HKD.EUR.CA.AC.A01,BBEX3.M.HKD.EUR.CA.AC.A01_FLAGS
"",Exchange rates for the euro in Hong Kong / EUR 1 = HKD ... (middle),
unit,HKD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:17:44,
1999-01,8.855450,
1999-02,8.567650,
1999-03,8.341000,
1999-04,8.261250,
1999-05,8.119400,
1999-06,8.037000,
1999-07,8.326600,
1999-08,8.171150,
1999-09,8.282050,
1999-10,8.203800,
1999-11,7.857700,
1999-12,7.834850,
2000-01,7.627750,
2000-02,7.571250,
2000-03,7.450750,
2000-04,7.101000,
2000-05,7.250750,
2000-06,7.462500,
2000-07,7.209000,
2000-08,6.966750,
2000-09,6.889250,
2000-10,6.563000,
2000-11,6.742000,
2000-12,7.354000,
2001-01,7.260750,
2001-02,7.175500,
2001-03,6.851000,
2001-04,6.956500,
2001-05,6.614250,
2001-06,6.606000,
2001-07,6.832000,
2001-08,7.156000,
2001-09,7.108750,
2001-10,7.062500,
2001-11,6.920500,
2001-12,6.904500,
2002-01,6.730750,
2002-02,6.752250,
2002-03,6.812750,
2002-04,7.038500,
2002-05,7.308000,
2002-06,7.729250,
2002-07,7.647500,
2002-08,7.654750,
2002-09,7.667000,
2002-10,7.697500,
2002-11,7.762750,
2002-12,8.163500,
2003-01,8.419500,
2003-02,8.395500,
2003-03,8.481750,
2003-04,8.678750,
2003-05,9.190000,
2003-06,8.911500,
2003-07,8.836750,
2003-08,8.512500,
2003-09,9.031250,
2003-10,9.035250,
2003-11,9.260250,
2003-12,9.798000,
2004-01,9.613500,
2004-02,9.675500,
2004-03,9.524250,
2004-04,9.325000,
2004-05,9.529000,
2004-06,9.454250,
2004-07,9.407250,
2004-08,9.421500,
2004-09,9.604750,
2004-10,9.924750,
2004-11,10.309750,
2004-12,10.602500,
2005-01,10.146500,
2005-02,10.343000,
2005-03,10.103250,
2005-04,10.104000,
2005-05,9.636000,
2005-06,9.386250,
2005-07,9.400750,
2005-08,9.496500,
2005-09,9.329250,
2005-10,9.366500,
2005-11,9.130500,
2005-12,9.190000,
2006-01,9.470500,
2006-02,9.206500,
2006-03,9.400500,
2006-04,9.739250,
2006-05,9.970250,
2006-06,9.872750,
2006-07,9.911750,
2006-08,9.991250,
2006-09,9.878750,
2006-10,9.872750,
2006-11,10.252500,
2006-12,10.237500,
2007-01,10.106000,
2007-02,10.303750,
2007-03,10.406000,
2007-04,10.633250,
2007-05,10.495500,
2007-06,10.522750,
2007-07,10.728250,
2007-08,10.649750,
2007-09,11.002000,
2007-10,11.190250,
2007-11,11.494500,
2007-12,11.479000,
2008-01,11.567000,
2008-02,11.835500,
2008-03,12.312500,
2008-04,12.116000,
2008-05,12.082000,
2008-06,12.343250,
2008-07,12.182500,
2008-08,11.501250,
2008-09,11.166750,
2008-10,9.845750,
2008-11,10.016500,
2008-12,11.202500,
2009-01,9.983750,
2009-02,9.810500,
2009-03,10.284250,
2009-04,10.330250,
2009-05,10.973750,
2009-06,10.961750,
2009-07,10.954000,
2009-08,11.051750,
2009-09,11.336750,
2009-10,11.488250,
2009-11,11.674750,
2009-12,11.173250,
2010-01,10.826250,
2010-02,10.534250,
2010-03,10.638000,comment
2010-04,10.282750,
2010-05,9.581250,
2010-06,9.508500,
2010-07,10.153250,
2010-08,9.827750,
2010-09,10.537250,
2010-10,10.768750,
2010-11,10.188250,
2010-12,10.393750,
2011-01,10.618250,
2011-02,10.726250,
2011-03,11.024250,
2011-04,11.528250,
2011-05,11.181750,
2011-06,11.275250,
2011-07,11.175500,
2011-08,11.251250,
2011-09,10.555950,
2011-10,10.873350,
2011-11,10.369900,
2011-12,10.036250,
2012-01,10.224100,
2012-02,10.446200,
2012-03,10.367000,
2012-04,10.280650,
2012-05,9.619550,
2012-06,9.763100,
2012-07,9.511450,
2012-08,9.748650,
2012-09,10.030550,
2012-10,10.036250,
2012-11,10.090050,
2012-12,10.220400,
2013-01,10.519900,
2013-02,10.193800,
2013-03,9.950700,
2013-04,10.170350,
2013-05,10.116400,
2013-06,10.119700,
2013-07,10.282800,
2013-08,10.263400,
2013-09,10.462900,
2013-10,10.622200,
2013-11,10.546600,
2013-12,10.684100,
2014-01,10.520500,
2014-02,10.649000,
2014-03,10.667750,
2014-04,10.700200,
2014-05,10.550300,
2014-06,10.574100,
2014-07,10.381100,
2014-08,10.199300,
2014-09,9.848850,
2014-10,9.744250,
2014-11,9.659650,
2014-12,9.385050,
2015-01,8.791200,
2015-02,8.688100,
"","Source: Calculated on the basis of the buying and selling rates of the Hongkong and Shanghai Banking Corporation Ltd., Hong Kong.",
"",Comment on 2010-03: Exchange rate as of 1 April 2010.,
