"",BBK01.OEBB19H,BBK01.OEBB19H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:48,
2002-01,4.361,
2002-04,4.503,
2002-07,4.633,
2002-10,4.582,
2003-01,4.683,
2003-04,4.675,
2003-07,4.807,
2003-10,4.836,
2004-01,4.840,
2004-04,5.454,
2004-07,4.944,
2004-10,4.596,
2005-01,4.779,
2005-04,4.917,
2005-07,4.991,
2005-10,5.146,
2006-01,5.099,
2006-04,5.063,
2006-07,5.129,
2006-10,5.121,
2007-01,5.016,
2007-04,4.977,
2007-07,4.874,
2007-10,4.706,
2008-01,4.583,
2008-04,4.512,
2008-07,4.450,
2008-10,4.280,
2009-01,4.276,
2009-04,4.361,
2009-07,4.628,
2009-10,4.384,
2010-01,4.361,
2010-04,4.867,
2010-07,4.886,
2010-10,4.981,
2011-01,5.072,
2011-04,5.229,
2011-07,7.348,
2011-10,7.327,
2012-01,7.297,
2012-04,7.453,
2012-07,7.530,
2012-10,7.669,
2013-01,8.562,
2013-04,8.635,
2013-07,8.804,
2013-10,8.908,
2014-01,8.888,
2014-04,8.835,
2014-07,8.910,
