"",BBK01.OEHJ08G,BBK01.OEHJ08G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:02:56,
2002-01,0.190,
2002-04,0.192,
2002-07,0.193,
2002-10,0.195,
2003-01,0.169,
2003-04,0.189,
2003-07,0.164,
2003-10,0.132,
2004-01,0.120,
2004-04,0.107,
2004-07,0.107,
2004-10,0.112,
2005-01,0.110,
2005-04,0.047,
2005-07,0.123,
2005-10,0.156,
2006-01,0.158,
2006-04,0.140,
2006-07,0.123,
2006-10,0.115,
2007-01,0.110,
2007-04,0.108,
2007-07,0.112,
2007-10,0.098,
2008-01,0.096,
2008-04,0.095,
2008-07,0.108,
2008-10,0.114,
2009-01,0.112,
2009-04,0.148,
2009-07,0.148,
2009-10,0.172,
2010-01,0.173,
2010-04,0.204,
2010-07,0.204,
2010-10,0.201,
2011-01,0.224,
2011-04,0.234,
2011-07,0.261,
2011-10,0.270,
2012-01,0.263,
2012-04,0.266,
2012-07,0.275,
2012-10,0.256,
2013-01,0.249,
2013-04,0.264,
2013-07,0.266,
2013-10,0.283,
2014-01,0.279,
2014-04,0.308,
2014-07,0.315,
