"",BBSF2.M.1.T.00000.IMM01.I.F.BGH.DE.00122.000000.EUR.00,BBSF2.M.1.T.00000.IMM01.I.F.BGH.DE.00122.000000.EUR.00_FLAGS
"",Funds total / Real estate funds / Deposits and loan claims / Germany / Monetary financial institutes (MFIs) / Denominated in Euro,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:38:49,
2009-09,9702,
2009-10,10203,
2009-11,9707,
2009-12,8728,
2010-01,9009,
2010-02,9251,
2010-03,9159,
2010-04,8984,
2010-05,8232,
2010-06,8046,
2010-07,8609,
2010-08,7921,
2010-09,7993,
2010-10,7540,
2010-11,7120,
2010-12,6683,
2011-01,8484,
2011-02,9565,
2011-03,9749,
2011-04,10137,
2011-05,10197,
2011-06,10062,
2011-07,10028,
2011-08,10093,
2011-09,10878,
2011-10,11087,
2011-11,10905,
2011-12,11351,
2012-01,11451,
2012-02,11672,
2012-03,12045,
2012-04,12514,
2012-05,14328,
2012-06,13053,
2012-07,12201,
2012-08,12251,
2012-09,12356,
2012-10,12081,
2012-11,11787,
2012-12,10958,
2013-01,10525,
2013-02,10487,
2013-03,11503,
2013-04,10671,
2013-05,10655,
2013-06,10491,
2013-07,10704,
2013-08,10260,
2013-09,10932,
2013-10,10844,
2013-11,10575,
2013-12,9776,
2014-01,8851,
2014-02,9157,
2014-03,8853,
2014-04,9655,
2014-05,9913,
2014-06,9869,
2014-07,8809,
2014-08,8605,
2014-09,9121,
2014-10,8461,
2014-11,8807,
