"",BBK01.OECM01V,BBK01.OECM01V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:40:27,
2002-01,0.526,
2002-04,0.503,
2002-07,0.490,
2002-10,0.596,
2003-01,0.445,
2003-04,0.569,
2003-07,0.480,
2003-10,0.534,
2004-01,0.454,
2004-04,0.467,
2004-07,0.420,
2004-10,0.503,
2005-01,0.507,
2005-04,0.509,
2005-07,0.489,
2005-10,0.525,
2006-01,0.500,
2006-04,0.445,
2006-07,0.449,
2006-10,0.505,
2007-01,0.504,
2007-04,0.612,
2007-07,0.484,
2007-10,0.606,
2008-01,0.596,
2008-04,0.632,
2008-07,0.763,
2008-10,1.211,
2009-01,1.477,
2009-04,1.044,
2009-07,1.064,
2009-10,1.050,
2010-01,0.948,
2010-04,0.756,
2010-07,0.999,
2010-10,0.958,
2011-01,0.903,
2011-04,0.992,
2011-07,1.518,
2011-10,1.734,
2012-01,2.038,
2012-04,1.340,
2012-07,0.858,
2012-10,1.143,
2013-01,1.261,
2013-04,1.367,
2013-07,1.229,
2013-10,1.053,
2014-01,0.887,
2014-04,1.078,
2014-07,1.318,
