"",BBK01.OECM04L,BBK01.OECM04L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:40:43,
2002-01,0.365,
2002-04,0.543,
2002-07,0.326,
2002-10,0.360,
2003-01,0.730,
2003-04,0.723,
2003-07,0.467,
2003-10,0.562,
2004-01,2.123,
2004-04,2.468,
2004-07,1.439,
2004-10,0.846,
2005-01,0.633,
2005-04,0.825,
2005-07,0.532,
2005-10,0.430,
2006-01,0.337,
2006-04,1.561,
2006-07,0.443,
2006-10,0.391,
2007-01,0.812,
2007-04,1.438,
2007-07,1.859,
2007-10,1.681,
2008-01,0.544,
2008-04,0.477,
2008-07,0.993,
2008-10,0.931,
2009-01,1.314,
2009-04,1.668,
2009-07,0.361,
2009-10,0.281,
2010-01,0.226,
2010-04,0.197,
2010-07,0.242,
2010-10,0.127,
2011-01,0.101,
2011-04,0.274,
2011-07,0.672,
2011-10,0.274,
2012-01,0.574,
2012-04,0.493,
2012-07,0.836,
2012-10,3.020,
2013-01,3.412,
2013-04,2.867,
2013-07,2.273,
2013-10,4.461,
2014-01,3.767,
2014-04,5.535,
2014-07,6.046,
