"",BBFN1.M.DE.N.1.A.FR.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.FR.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from trade credits / Total / France,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:10:07,
1994-07,.,No value available
1994-08,.,No value available
1994-09,.,No value available
1994-10,.,No value available
1994-11,.,No value available
1994-12,9.308,
1995-01,9.369,
1995-02,9.321,
1995-03,9.575,
1995-04,9.526,
1995-05,9.594,
1995-06,9.780,
1995-07,9.596,
1995-08,9.258,
1995-09,9.417,
1995-10,9.305,
1995-11,9.487,
1995-12,8.804,
1996-01,8.824,
1996-02,8.697,
1996-03,8.964,
1996-04,8.959,
1996-05,8.908,
1996-06,9.014,
1996-07,8.888,
1996-08,8.365,
1996-09,8.617,
1996-10,8.624,
1996-11,8.777,
1996-12,8.612,
1997-01,8.681,
1997-02,8.638,
1997-03,8.825,
1997-04,9.179,
1997-05,9.050,
1997-06,9.205,
1997-07,9.104,
1997-08,8.690,
1997-09,8.962,
1997-10,9.209,
1997-11,9.394,
1997-12,9.190,
1998-01,9.456,
1998-02,9.692,
1998-03,9.841,
1998-04,9.908,
1998-05,9.851,
1998-06,9.855,
1998-07,9.763,
1998-08,9.212,
1998-09,9.561,
1998-10,9.823,
1998-11,9.734,
1998-12,9.211,
1999-01,9.440,
1999-02,9.756,
1999-03,9.893,
1999-04,9.889,
1999-05,9.997,
1999-06,10.252,
1999-07,10.307,
1999-08,9.829,
1999-09,9.933,
1999-10,10.433,
1999-11,10.901,
1999-12,10.597,
2000-01,10.791,
2000-02,11.076,
2000-03,11.607,
2000-04,11.246,
2000-05,11.425,
2000-06,11.413,
2000-07,11.624,
2000-08,11.296,
2000-09,11.623,
2000-10,11.996,
2000-11,12.354,
2000-12,12.290,
2001-01,12.278,
2001-02,12.399,
2001-03,12.777,
2001-04,12.287,
2001-05,12.361,
2001-06,12.454,
2001-07,12.277,
2001-08,12.199,
2001-09,12.483,
2001-10,11.739,
2001-11,12.086,
2001-12,11.726,
2002-01,11.393,
2002-02,11.214,
2002-03,11.150,
2002-04,11.175,
2002-05,11.090,
2002-06,11.295,
2002-07,11.178,
2002-08,10.801,
2002-09,10.760,
2002-10,11.125,
2002-11,11.292,
2002-12,10.911,
2003-01,10.940,
2003-02,10.805,
2003-03,11.450,
2003-04,11.235,
2003-05,11.079,
2003-06,11.179,
2003-07,10.859,
2003-08,10.470,
2003-09,10.540,
2003-10,10.945,
2003-11,11.534,
2003-12,10.812,
2004-01,10.474,
2004-02,11.630,
2004-03,11.116,
2004-04,11.151,
2004-05,11.139,
2004-06,11.562,
2004-07,11.182,
2004-08,10.573,
2004-09,10.930,
2004-10,11.279,
2004-11,11.978,
2004-12,11.548,
2005-01,11.396,
2005-02,11.324,
2005-03,11.938,
2005-04,12.093,
2005-05,11.826,
2005-06,12.254,
2005-07,12.204,
2005-08,11.270,
2005-09,11.969,
2005-10,12.062,
2005-11,13.005,
2005-12,12.431,
2006-01,12.694,
2006-02,12.153,
2006-03,12.543,
2006-04,12.483,
2006-05,12.523,
2006-06,12.899,
2006-07,12.457,
2006-08,11.547,
2006-09,12.523,
2006-10,12.268,
2006-11,13.097,
2006-12,12.892,
2007-01,12.711,
2007-02,12.798,
2007-03,13.358,
2007-04,12.870,
2007-05,13.046,
2007-06,13.448,
2007-07,12.818,
2007-08,12.330,
2007-09,13.091,
2007-10,13.255,
2007-11,13.799,
2007-12,13.190,
2008-01,13.257,
2008-02,14.006,
2008-03,13.739,
2008-04,14.383,
2008-05,14.341,
2008-06,14.507,
2008-07,13.975,
2008-08,13.002,
2008-09,13.598,
2008-10,14.064,
2008-11,13.756,
2008-12,13.046,
2009-01,12.721,
2009-02,12.299,
2009-03,12.078,
2009-04,11.684,
2009-05,11.689,
2009-06,11.704,
2009-07,11.652,
2009-08,10.969,
2009-09,11.331,
2009-10,11.893,
2009-11,12.052,
2009-12,11.535,
2010-01,11.385,
2010-02,11.196,
2010-03,12.128,
2010-04,11.594,
2010-05,11.433,
2010-06,12.007,
2010-07,11.661,
2010-08,10.670,
2010-09,12.047,
2010-10,12.364,
2010-11,12.523,
2010-12,12.002,
2011-01,12.226,
2011-02,12.997,
2011-03,13.402,
2011-04,13.063,
2011-05,13.257,
2011-06,13.249,
2011-07,12.533,
2011-08,11.612,
2011-09,12.466,
2011-10,12.545,
2011-11,12.844,
2011-12,12.602,
2012-01,12.634,
2012-02,12.845,
2012-03,13.325,
2012-04,12.593,
2012-05,11.982,
2012-06,12.836,
2012-07,12.385,
2012-08,11.747,
2012-09,12.026,
2012-10,12.534,
2012-11,13.136,
2012-12,12.673,
2013-01,12.388,
2013-02,12.238,
2013-03,13.307,
2013-04,13.228,
2013-05,12.698,
2013-06,13.069,
2013-07,12.730,
2013-08,12.065,
2013-09,12.347,
2013-10,12.779,
2013-11,13.273,
2013-12,13.041,
2014-01,13.096,
2014-02,13.199,
2014-03,13.778,
2014-04,13.077,
2014-05,13.157,
2014-06,13.240,
2014-07,12.980,
2014-08,12.523,
2014-09,12.928,
2014-10,13.575,
2014-11,13.913,
2014-12,14.222,
