"",BBK01.OEAC03M,BBK01.OEAC03M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:49:44,
2002-01,3.023,
2002-04,3.014,
2002-07,2.786,
2002-10,3.284,
2003-01,3.425,
2003-04,3.618,
2003-07,3.660,
2003-10,3.975,
2004-01,3.888,
2004-04,4.034,
2004-07,4.052,
2004-10,4.135,
2005-01,3.988,
2005-04,4.000,
2005-07,4.046,
2005-10,4.178,
2006-01,4.187,
2006-04,4.391,
2006-07,4.398,
2006-10,4.597,
2007-01,4.636,
2007-04,4.716,
2007-07,4.871,
2007-10,5.079,
2008-01,5.145,
2008-04,5.286,
2008-07,5.416,
2008-10,5.687,
2009-01,6.217,
2009-04,6.392,
2009-07,6.470,
2009-10,6.726,
2010-01,7.923,
2010-04,8.467,
2010-07,8.845,
2010-10,8.243,
2011-01,8.466,
2011-04,9.018,
2011-07,9.331,
2011-10,9.913,
2012-01,10.144,
2012-04,10.546,
2012-07,10.776,
2012-10,11.240,
2013-01,11.218,
2013-04,11.275,
2013-07,11.438,
2013-10,11.737,
2014-01,11.499,
2014-04,11.474,
2014-07,11.618,
