"",BBK01.OELB01I,BBK01.OELB01I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:27,
2002-01,6.914,
2002-04,7.310,
2002-07,7.805,
2002-10,7.264,
2003-01,7.355,
2003-04,7.602,
2003-07,7.659,
2003-10,7.452,
2004-01,7.406,
2004-04,7.716,
2004-07,7.632,
2004-10,7.762,
2005-01,7.758,
2005-04,7.759,
2005-07,7.823,
2005-10,7.926,
2006-01,7.696,
2006-04,6.993,
2006-07,6.868,
2006-10,6.441,
2007-01,6.494,
2007-04,6.525,
2007-07,6.528,
2007-10,6.523,
2008-01,6.570,
2008-04,6.574,
2008-07,6.656,
2008-10,6.705,
2009-01,6.747,
2009-04,6.806,
2009-07,6.928,
2009-10,6.847,
2010-01,6.945,
2010-04,7.093,
2010-07,7.181,
2010-10,7.199,
2011-01,7.350,
2011-04,7.483,
2011-07,7.656,
2011-10,7.530,
2012-01,7.584,
2012-04,9.439,
2012-07,9.644,
2012-10,9.797,
2013-01,9.920,
2013-04,10.149,
2013-07,10.379,
2013-10,10.554,
2014-01,10.587,
2014-04,10.791,
2014-07,10.984,
