"",BBK01.OEAC35U,BBK01.OEAC35U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:53:27,
2002-01,0.077,
2002-04,0.075,
2002-07,0.071,
2002-10,0.085,
2003-01,0.084,
2003-04,0.085,
2003-07,0.080,
2003-10,0.075,
2004-01,0.076,
2004-04,0.075,
2004-07,0.075,
2004-10,0.074,
2005-01,0.073,
2005-04,0.075,
2005-07,0.074,
2005-10,0.075,
2006-01,0.073,
2006-04,0.073,
2006-07,0.080,
2006-10,0.082,
2007-01,0.080,
2007-04,0.076,
2007-07,0.078,
2007-10,0.075,
2008-01,0.069,
2008-04,0.070,
2008-07,0.065,
2008-10,0.064,
2009-01,0.060,
2009-04,0.092,
2009-07,0.097,
2009-10,0.096,
2010-01,0.095,
2010-04,0.096,
2010-07,0.065,
2010-10,0.062,
2011-01,0.061,
2011-04,0.064,
2011-07,0.059,
2011-10,0.060,
2012-01,0.061,
2012-04,0.070,
2012-07,0.073,
2012-10,0.074,
2013-01,0.075,
2013-04,0.076,
2013-07,0.074,
2013-10,0.076,
2014-01,0.069,
2014-04,0.070,
2014-07,0.070,
