"",BBFB1.M.N.DE.W1.S1.S1.T.C.G___AA._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.C.G___AA._Z._Z._Z._T._X.N_FLAGS
"",Current account / Supplementary trade items / To exports / Additions / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:35:47,
1991-01,541.670,
1991-02,543.543,
1991-03,631.640,
1991-04,519.269,
1991-05,474.060,
1991-06,664.192,
1991-07,539.835,
1991-08,814.848,
1991-09,595.414,
1991-10,622.493,
1991-11,610.800,
1991-12,769.689,
1992-01,514.218,
1992-02,489.341,
1992-03,595.974,
1992-04,659.865,
1992-05,591.613,
1992-06,552.490,
1992-07,683.745,
1992-08,679.724,
1992-09,684.475,
1992-10,736.836,
1992-11,520.558,
1992-12,751.182,
1993-01,592.838,
1993-02,648.268,
1993-03,679.030,
1993-04,541.874,
1993-05,459.311,
1993-06,525.563,
1993-07,642.296,
1993-08,588.378,
1993-09,571.294,
1993-10,591.747,
1993-11,693.977,
1993-12,819.463,
1994-01,533.134,
1994-02,516.820,
1994-03,583.515,
1994-04,752.728,
1994-05,692.933,
1994-06,756.993,
1994-07,502.574,
1994-08,608.985,
1994-09,527.675,
1994-10,443.365,
1994-11,701.530,
1994-12,858.793,
1995-01,717.248,
1995-02,503.575,
1995-03,541.843,
1995-04,678.653,
1995-05,812.736,
1995-06,512.366,
1995-07,607.903,
1995-08,523.928,
1995-09,621.215,
1995-10,599.307,
1995-11,604.707,
1995-12,613.082,
1996-01,516.458,
1996-02,537.390,
1996-03,537.531,
1996-04,642.679,
1996-05,1161.915,
1996-06,503.426,
1996-07,599.343,
1996-08,591.988,
1996-09,515.364,
1996-10,518.822,
1996-11,669.628,
1996-12,704.453,
1997-01,502.074,
1997-02,828.690,
1997-03,512.998,
1997-04,613.191,
1997-05,597.177,
1997-06,676.516,
1997-07,582.107,
1997-08,515.573,
1997-09,667.533,
1997-10,687.999,
1997-11,595.958,
1997-12,741.872,
1998-01,837.910,
