"",BBDE1.Q.DE.Y.LCC1.P2XG00300.A.L.I08.A,BBDE1.Q.DE.Y.LCC1.P2XG00300.A.L.I08.A_FLAGS
"",Index of non-wage costs / Germany / Section G-N - Market-based service activities / Calendar and seasonally adjusted,
unit,2008=100 (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-09 08:05:19,
1996-01,91.7,
1996-04,90.4,
1996-07,92.0,
1996-10,93.0,
1997-01,93.9,
1997-04,94.7,
1997-07,94.5,
1997-10,94.5,
1998-01,94.7,
1998-04,95.4,
1998-07,96.4,
1998-10,97.6,
1999-01,95.0,
1999-04,97.4,
1999-07,97.3,
1999-10,98.6,
2000-01,97.7,
2000-04,97.9,
2000-07,98.7,
2000-10,100.5,
2001-01,99.4,
2001-04,100.3,
2001-07,100.3,
2001-10,101.2,
2002-01,103.5,
2002-04,102.5,
2002-07,103.7,
2002-10,103.5,
2003-01,107.9,
2003-04,108.6,
2003-07,108.4,
2003-10,108.1,
2004-01,108.3,
2004-04,108.6,
2004-07,108.6,
2004-10,107.1,
2005-01,107.0,
2005-04,107.7,
2005-07,105.3,
2005-10,104.5,
2006-01,103.1,
2006-04,101.4,
2006-07,102.3,
2006-10,102.2,
2007-01,102.3,
2007-04,100.7,
2007-07,100.4,
2007-10,100.2,
2008-01,98.1,
2008-04,99.0,
2008-07,101.1,
2008-10,101.8,
2009-01,101.0,
2009-04,102.4,
2009-07,103.6,
2009-10,104.1,
2010-01,106.8,
2010-04,108.3,
2010-07,109.9,
2010-10,110.1,
2011-01,107.1,
2011-04,108.8,
2011-07,109.0,
2011-10,110.9,
2012-01,112.5,
2012-04,113.1,
2012-07,114.0,
2012-10,113.8,
2013-01,114.5,
2013-04,111.6,
2013-07,110.9,
2013-10,111.8,
2014-01,111.4,
2014-04,113.9,
2014-07,114.3,
