"",BBFN1.M.DE.N.1.L.SK.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.SK.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from credit terms used / Total / Slovak Republic,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:12:44,
1994-07,0.038,
1994-08,0.041,
1994-09,0.042,
1994-10,0.039,
1994-11,0.055,
1994-12,0.061,
1995-01,0.059,
1995-02,0.067,
1995-03,0.063,
1995-04,0.066,
1995-05,0.071,
1995-06,0.092,
1995-07,0.066,
1995-08,0.067,
1995-09,0.076,
1995-10,0.085,
1995-11,0.099,
1995-12,0.102,
1996-01,0.106,
1996-02,0.088,
1996-03,0.079,
1996-04,0.094,
1996-05,0.088,
1996-06,0.100,
1996-07,0.097,
1996-08,0.095,
1996-09,0.095,
1996-10,0.092,
1996-11,0.123,
1996-12,0.101,
1997-01,0.110,
1997-02,0.108,
1997-03,0.103,
1997-04,0.119,
1997-05,0.125,
1997-06,0.075,
1997-07,0.099,
1997-08,0.072,
1997-09,0.102,
1997-10,0.134,
1997-11,0.175,
1997-12,0.112,
1998-01,0.108,
1998-02,0.139,
1998-03,0.175,
1998-04,0.154,
1998-05,0.150,
1998-06,0.180,
1998-07,0.329,
1998-08,0.396,
1998-09,0.220,
1998-10,0.204,
1998-11,0.225,
1998-12,0.180,
1999-01,0.179,
1999-02,0.170,
1999-03,0.194,
1999-04,0.216,
1999-05,0.242,
1999-06,0.209,
1999-07,0.154,
1999-08,0.174,
1999-09,0.195,
1999-10,0.207,
1999-11,0.229,
1999-12,0.175,
2000-01,0.294,
2000-02,0.290,
2000-03,0.282,
2000-04,0.266,
2000-05,0.306,
2000-06,0.305,
2000-07,0.406,
2000-08,0.293,
2000-09,0.294,
2000-10,0.353,
2000-11,0.387,
2000-12,0.344,
2001-01,0.345,
2001-02,0.428,
2001-03,0.498,
2001-04,0.431,
2001-05,0.437,
2001-06,0.285,
2001-07,0.391,
2001-08,0.284,
2001-09,0.267,
2001-10,0.331,
2001-11,0.353,
2001-12,0.230,
2002-01,0.256,
2002-02,0.338,
2002-03,0.326,
2002-04,0.414,
2002-05,0.398,
2002-06,0.428,
2002-07,0.407,
2002-08,0.544,
2002-09,0.493,
2002-10,0.342,
2002-11,0.533,
2002-12,0.418,
2003-01,0.361,
2003-02,0.438,
2003-03,0.473,
2003-04,0.494,
2003-05,0.555,
2003-06,0.537,
2003-07,0.636,
2003-08,0.662,
2003-09,0.696,
2003-10,0.654,
2003-11,0.779,
2003-12,0.613,
2004-01,0.553,
2004-02,0.624,
2004-03,0.635,
2004-04,0.568,
2004-05,0.503,
2004-06,0.592,
2004-07,0.578,
2004-08,0.515,
2004-09,0.562,
2004-10,0.629,
2004-11,0.612,
2004-12,0.494,
2005-01,0.421,
2005-02,0.611,
2005-03,0.607,
2005-04,0.647,
2005-05,0.628,
2005-06,0.679,
2005-07,0.629,
2005-08,0.513,
2005-09,0.762,
2005-10,0.683,
2005-11,0.735,
2005-12,0.930,
2006-01,0.903,
2006-02,1.070,
2006-03,1.202,
2006-04,1.058,
2006-05,1.305,
2006-06,1.393,
2006-07,1.247,
2006-08,1.537,
2006-09,1.332,
2006-10,1.329,
2006-11,1.394,
2006-12,1.086,
2007-01,1.105,
2007-02,0.992,
2007-03,1.377,
2007-04,1.279,
2007-05,1.307,
2007-06,1.300,
2007-07,1.177,
2007-08,1.105,
2007-09,1.330,
2007-10,1.437,
2007-11,1.523,
2007-12,1.224,
2008-01,1.334,
2008-02,1.458,
2008-03,1.450,
2008-04,1.564,
2008-05,1.583,
2008-06,1.673,
2008-07,1.684,
2008-08,1.609,
2008-09,1.818,
2008-10,1.692,
2008-11,1.658,
2008-12,1.373,
2009-01,1.489,
2009-02,1.481,
2009-03,1.559,
2009-04,1.141,
2009-05,1.216,
2009-06,1.308,
2009-07,0.999,
2009-08,0.778,
2009-09,0.680,
2009-10,0.681,
2009-11,0.776,
2009-12,0.643,
2010-01,0.615,
2010-02,0.786,
2010-03,0.915,
2010-04,0.963,
2010-05,1.048,
2010-06,1.106,
2010-07,0.968,
2010-08,0.903,
2010-09,1.158,
2010-10,1.080,
2010-11,1.032,
2010-12,0.780,
2011-01,0.897,
2011-02,1.086,
2011-03,1.154,
2011-04,0.982,
2011-05,0.986,
2011-06,1.102,
2011-07,0.772,
2011-08,0.808,
2011-09,1.116,
2011-10,1.108,
2011-11,1.129,
2011-12,0.952,
2012-01,0.776,
2012-02,1.125,
2012-03,1.082,
2012-04,1.133,
2012-05,1.202,
2012-06,1.058,
2012-07,1.133,
2012-08,0.894,
2012-09,1.008,
2012-10,0.995,
2012-11,0.972,
2012-12,1.143,
2013-01,1.178,
2013-02,1.250,
2013-03,1.414,
2013-04,1.415,
2013-05,1.462,
2013-06,1.212,
2013-07,1.204,
2013-08,1.239,
2013-09,1.428,
2013-10,1.361,
2013-11,1.510,
2013-12,1.075,
2014-01,1.218,
2014-02,1.453,
2014-03,1.470,
2014-04,1.281,
2014-05,1.350,
2014-06,1.368,
2014-07,1.002,
2014-08,1.156,
2014-09,1.518,
2014-10,1.558,
2014-11,1.475,
2014-12,1.083,
